,code,name,regn,ala,arg,asp,glu,gly,pro,ser,tyr
503,Q001 ,Crab (Menippe mercenaria) ,1,2.8,3.37,8.31,13.53,7.58,3.34,4.17,3.56
504,Q002,"Crab, sea (Portunus sanguinolentus)",1,6.19,6.91,8.11,15.34,7.97,3.97,3.62,3.81
505,Q003,"Lobster, brown (Thenus orientalis)",1,6.08,6.81,10.35,15.93,6.69,3.86,4.68,3.43
506,Q004,"Lobster, king size (Thenus orientalis)",1,3.43,5.13,8.32,13.76,6.38,7.55,4.77,4.53
507,Q005,Mud crab (Scylla tranquebarica),1,5.47,7.47,8.68,14.34,7.48,4.85,3.7,3.88
508,Q006,Oyster (Crassostrea sp.),1,5.57,6.07,10.93,14.64,7.88,5.24,4.61,3.61
509,Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,5.25,7.69,8.84,14.31,5.94,3.52,4.16,3.79
510,Q008,"Tiger Prawns, orange (Penaeus monodon)",1,5.37,5.65,8.6,14.5,5.95,3.41,4.07,3.4
511,R001 ,"Clam, green shell (Perna viridis ) ",1,4.44,6.21,10.19,13.15,8.87,3.64,5.2,3.67
512,R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,6.8,7.54,10.2,13.55,8.43,3.35,4.71,3.17
513,R003,Octopus (Octopus vulgaris),1,5.34,6.59,8.9,10.43,5.84,4.43,4.75,6.32
514,R004,"Squid, black (Loligo sp.)",1,5.27,6.99,10.65,13.08,5.95,4.56,4.16,4.3
515,R005,"Squid, hard shell (Sepia pharaonis)",1,4.43,7.03,9.96,13.99,4.64,4.44,4.5,2.91
516,R006,"Squid, red (Loligo duvauceli)",2,5.71,6.75,8.86,12.38,5.48,3.27,5.79,5.63
517,R007,"Squid, white, small (Uroteuthis duvauceli )",1,4.74,4.67,9.75,8.18,5.33,4.34,4.6,4.46
518,S001,Cat fish (Tandanus tandanus),2,2.38,4.03,1.56,6.74,8.78,7.13,4.72,3.82
519,S002,Catla (Catla catla),6,2.64,3.53,1.08,6.64,9.32,6.75,4.43,2.88
520,S003,Freshwater Eel (Anguilla anguilla),1,2.06,4.06,1.12,7.74,6.53,5.97,3.52,3.78
521,S004,Gold fish (Carassius auratus),1,3.12,3.19,1.61,7.39,8.61,7.77,4.38,3.14
522,S005,Pangas (Pangasianodon hypophthalmus),2,13.64,95.04,3.34,6.08,2.84,8.44,6.51,5.31
523,S006,Rohu (Labeo rohita),6,2.45,3.68,1.45,7.19,9.60,6.41,4.63,3.40
524,S007,Crab (Pachygrapsus sp.),1,2.92,5.27,2.03,9.15,8.42,7.73,3.8,5.17
525,S008,"Prawns, big (Macrobrachium rosenbergii)",3,2.79,3.28,1.82,9.11,9.1,5.49,4.13,2.66
526,S009,"Prawns, small (Macrobrachium sp.)",6,2.56,4.42,1.51,6.52,8.32,6.30,4.36,3.86
527,S010,Tiger prawns (Macrobrachium sp.),2,2.35,4.06,1.41,10.29,8.84,4.24,4.3,3.59
