,code,name,regn,f20d3n6,f20d4n6,f20d5n3,f22d6n3,fasat,fams,fapu,cholc
54,O021,"Sheep, liver",4,0,364,0.0,229,1822,772,1014,430
55,O022,"Sheep, tripe",2,0,63.32,0.0,0,1962,1534,210,113
56,O023,"Sheep, spleen",1,0,283,0.0,0,1533,764,466,262
57,O024,"Sheep, kidneys",2,0,233,0.0,0,1127,588,463,299
58,O025,"Beef, shoulder",6,0,280,0.0,0,7046,6227,1008,66.36
59,O026,"Beef, chops",4,0,122,0.0,0,3031,2680,437,45.97
60,O027,"Beef, round (leg)",6,0,211,0.0,0,2998,3280,480,55.81
61,O028,"Beef, brain",4,0,321,0.0,432,2490,1869,848,1668
62,O029,"Beef, tongue",4,0,86.44,0.0,0,6287,4741,484,141
63,O030,"Beef, lungs",3,0,146,0.0,0,1198,647,244,334
64,O031,"Beef, heart",5,0,128,0.0,0,1479,848,490,92.73
65,O032,"Beef, liver",6,0,218,0.0,103,1543,826,566,261
66,O033,"Beef, tripe",5,0,35.70,0.0,0,1371,833,95.26,82.66
67,O034,"Beef, spleen",6,0,254,0.0,0,1160,480,393,353
68,O035,"Beef, kidneys",3,0,135,0.0,0,1743,835,291,439
69,O036,"Calf, shoulder",2,0,231,0.0,0,3510,2647,689,58.27
70,O037,"Calf, chops",2,0,105,0.0,0,1966,1034,449,62.05
71,O038,"Calf, round (leg)",2,0,233,0.0,0,2263,2433,497,50.1
72,O039,"Calf, brain",2,0,264,0.0,249,2202,1460,603,1345
73,O040,"Calf, tongue",2,0,256,0.0,0,5630,4406,737,107
74,O041,"Calf, heart",1,0,198,0.0,0,1489,696,773,130
75,O042,"Calf, liver",1,0,265,0.0,92,1616,670,643,306
76,O043,"Calf, spleen",1,0,269,0.0,0,1030,513,397,360
77,O044,"Calf, kidneys",2,0,239,0.0,0,1464,660,491,271
78,O045,"Mithun, shoulder",1,0,889,0.0,0,4436,2157,3613,45.07
79,O046,"Mithun, chops",1,0,340,0.0,0,2736,1276,1596,46.99
80,O047,"Mithun, round (leg)",1,0,458,0.0,0,1442,1918,1700,44.01
81,O048,"Pork, shoulder",6,0,121,0.0,0,6887,8114,2129,44.38
82,O049,"Pork, chops",6,0,26.53,0.0,0,4803,4972,660,46.98
83,O050,"Pork, ham",6,0,114,0.0,0,6938,8065,1875,47.08
84,O051,"Pork, lungs",4,0,121,0.0,0,1247,867,469,232
85,O052,"Pork, heart",4,0,255,0.0,0,1575,1247,1019,134
86,O053,"Pork, liver",5,0,376,0.0,0,1325,700,896,216
87,O054,"Pork, stomach",1,0,154,0.0,0,3327,2690,1090,187
88,O055,"Pork, spleen",3,0,137,0.0,0,1245,820,397,201
89,O056,"Pork, kidneys",5,0,214,0.0,0,1169,846,714,267
90,O057,"Pork, tube (small intestine)",1,0,168,0.0,0,4109,3174,892,180
91,O058,"Hare, shoulder",1,0,191,0.0,0,2698,1606,1720,79.93
92,O059,"Hare, chops",1,0,89,0.0,0,1028,613,690,77.7
93,O060,"Hare, leg",1,0,90,0.0,0,910,514,555,78.81
94,O061,"Rabbit, shoulder",1,0,205,0.0,0,3142,2332,1813,82.56
95,O062,"Rabbit, chops",1,0,94,0.0,0,1907,1480,1083,79.17
96,O063,"Rabbit, leg",1,0,85,0.0,0,1575,1203,877,76.7
