,code,name,regn,his,ile,leu,lys,met,cys,phe,thr,trp,val
388,O041,"Calf, heart",1,5.25,2.69,6.43,8.11,4.98,7.97,6.83,5,1.41,5.38
389,O042,"Calf, liver",1,4.33,2.36,6.13,8.76,5.51,8.61,5.55,6.13,1.43,4.98
390,O043,"Calf, spleen",1,4.76,3.15,5.66,9.51,6.96,8.25,5.32,6.84,1.47,5.19
391,O044,"Calf, kidneys",2,5.49,3.77,6.39,8.27,5.92,8.2,6.15,5.53,1.21,5.38
392,O045,"Mithun, shoulder",1,4.72,4.08,7.78,7.48,6.01,9.54,7.44,5.01,1.28,4.47
393,O046,"Mithun, chops",1,5.21,3.35,6.92,7.87,5.37,9.71,7.73,4.65,1.28,4.76
394,O047,"Mithun, round (leg)",1,5.08,3.77,6.49,7.87,5.5,9.57,7.34,4.93,1.33,3.94
395,O048,"Pork, shoulder",6,4.83,3.86,5.50,8.39,5.32,9.17,6.51,4.39,1.32,4.41
396,O049,"Pork, chops",6,4.42,4.08,5.97,7.77,6.74,9.73,7.30,4.63,1.31,4.37
397,O050,"Pork, ham",6,4.91,4.47,6.49,8.27,5.32,9.38,7.62,4.56,1.47,5.09
398,O051,"Pork, lungs",4,4.34,3.02,5.50,8.00,6.76,8.22,6.50,6.16,1.37,3.92
399,O052,"Pork, heart",4,5.09,3.11,6.57,8.73,5.76,8.65,6.20,5.69,1.55,5.58
400,O053,"Pork, liver",5,4.73,3.07,6.71,8.64,5.26,8.60,6.12,6.07,1.24,4.73
401,O054,"Pork, stomach",1,5.27,3.13,6.66,6.44,5.55,8.96,8.82,5.04,1.46,5.47
402,O055,"Pork, spleen",3,4.36,3.06,7.53,8.61,6.30,8.61,6.77,5.84,1.28,4.26
403,O056,"Pork, kidneys",5,5.15,3.67,7.76,8.12,5.55,8.87,5.86,6.11,1.26,4.96
404,O057,"Pork, tube (small intestine)",1,4.98,4.08,7.74,7.93,6.7,8.07,7.99,4.73,1.27,3.5
405,O058,"Hare, shoulder",1,4.64,2.57,7.76,9.13,7.07,8.41,6.81,5.04,1.49,5.01
406,O059,"Hare, chops",1,4.98,2.64,7.46,9.08,6.82,8.8,6.48,5.86,1.64,4.88
407,O060,"Hare, leg",1,4.83,2.72,7.73,9,6.47,8.93,6.45,5.08,1.82,4.94
408,O061,"Rabbit, shoulder",1,5.04,2.86,7.23,8.34,6.63,8.65,6.59,5.1,1.65,5.31
409,O062,"Rabbit, chops",1,5.11,2.97,7.51,8.84,6.74,8.61,6.52,5.1,1.46,4.93
410,O063,"Rabbit, leg",1,4.86,2.95,7.21,9.17,6.94,8.48,6.71,5.08,1.52,5.09
411,P001,Allathi (Elops machnata),1,5.23,4.76,7.8,6.63,3.26,1.42,5.49,5.13,1.18,5.26
412,P002,Aluva (Parastromateus niger),3,3.72,4.57,8.65,5.91,2.28,1.42,6.43,5.57,0.99,5.74
413,P003,Anchovy (Stolephorus indicus),2,3.65,4.59,7.72,5.67,3.28,1.82,4.61,5.55,0.81,5.49
414,P004,Ari fish (Aprion virescens),1,4.71,4.56,8.23,6.3,2.64,2.14,4.55,5.49,1.23,5.11
415,P005,Betki (Lates calcarifer),1,4.54,4.62,6.98,7.6,3.15,1.95,5.79,5.19,0.81,5.33
416,P006,Black snapper (Macolor niger),1,4.94,4.93,7.97,5.84,3.12,2.01,5.33,4.64,0.79,5.43
417,P007,Bombay duck (Harpadon nehereus),2,4.6,4.49,7.47,7.17,3.44,1.74,5.37,4.51,1.25,5.34
418,P008,Bommuralu (Muraenesox cinerius),3,3.74,4.75,8.59,5.07,2.57,1.48,6.19,5.58,1.19,5.35
419,P009,Cat fish (Tachysurus thalassinus),1,2.06,5.04,8.35,6.13,2.12,1.42,4.4,4.83,0.55,5.59
420,P010,Chakla (Rachycentron canadum),5,3.61,4.62,7.59,6.26,2.52,1.83,5.63,5.15,1.02,5.28
421,P011,Chappal (Aluterus monoceros ),1,3.04,4.82,8.35,5.47,4.1,1.91,4.72,5.76,1.18,5.75
422,P012,Chelu (Elagatis bipinnulata),2,2.96,4.7,7.41,6.31,4.15,1.58,4.37,5.82,1.13,5.63
423,P013,Chembali (Lutjanus quinquelineatus),1,3.19,4.6,7.72,8.03,4.3,1.45,4.93,5.29,1.01,5.26
424,P014,Eri meen (Pristipomoides filamentosus),1,3.89,4.86,8.19,6.92,3.19,1.67,5.95,5.25,1.11,5.39
425,P015,Gobro (Epinephelus diacanthus),2,2.87,4.59,7.92,7.51,3.54,1.98,4.52,5.53,1.15,5.23
426,P016,Guitar fish (Rhinobatus prahli),1,2.35,4.89,8.37,6.92,3.07,1.33,4.26,4.96,1.04,5.22
427,P017,Hilsa (Tenualosa ilisha),2,4.32,3.79,8.14,7.45,3.68,1.43,5.17,5.48,1.88,5.35
428,P018,Jallal (Arius sp.),1,3.5,4.78,7.85,6.03,3.97,2.27,5.02,5.8,1.08,5.41
429,P019,Jathi vela meen (Lethrinus lentjan),2,3.58,4.63,8.25,6.72,3.79,1.75,4.4,4.75,1,5.7
430,P020,Kadal bral (Synodus indicus),1,3.2,4.38,7.43,6.52,3.46,2.01,3.82,5.39,0.81,5.22
431,P021,Kadali (Nemipterus mesoprion),1,3.63,4.71,8.01,7.43,2.33,1.21,5.77,5.48,1.11,5.24
432,P022,Kalamaara (Leptomelanosoma indicum),2,2.76,4.52,8.63,6.04,3.05,1.76,6.29,5.5,1.1,5.06
433,P023,Kalava (Epinephelus coioides),1,3.81,4.82,8,6.04,3.5,1.72,5.61,5.1,1.28,5.19
434,P024,Kanamayya (Lutjanus rivulatus),2,2,4.95,7.78,5.62,2.87,1.61,5.36,6.11,0.98,5.64
435,P025,Kannadi paarai (Alectis indicus),3,4.13,4.47,7.68,6.11,2.89,1.66,5.61,5.57,1.10,5.29
436,P026,Karimeen (Etroplus suratensis),1,2.3,4.59,8.06,6.5,3.61,1.7,4.03,5.11,0.78,5.24
437,P027,Karnagawala (Anchoa hepsetus),1,2.85,5.06,8.51,5.43,3.66,2.54,4.68,6.8,0.91,5.83
438,P028,Kayrai (Thunnus albacores),2,2.27,4.6,8.27,6.76,2.46,1.52,5.13,5.19,1.1,5.72
439,P029,Kiriyan (Atule mate),1,3.07,4.54,7.39,6.3,4.14,2.34,5.09,5.37,1.24,5.59
440,P030,Kite fish (Mobula kuhlii),1,3.07,4.67,8.18,5.8,3.1,1.31,4.97,5.66,1.56,4.98
441,P031,Korka (Terapon jarbua),1,3.43,4.47,7.4,5.49,3.34,2.38,3.6,5.56,1.09,5.18
442,P032,Kulam paarai (Carangoides fulvoguttatus),1,1.74,4.91,8.39,5.95,2.49,1.56,5.17,6.36,1.15,6.03
443,P033,Maagaa (Polynemus plebeius),1,3.07,4.75,8.15,7.24,3.25,1.43,5.18,5.17,1.14,5.29
444,P034,Mackerel (Rastrelliger kanagurta),3,3.63,4.64,7.91,6.39,2.56,1.68,5.25,5.71,1.00,5.47
445,P035,Manda clathi (Naso reticulatus),1,2.98,4.7,8.74,6.05,3.32,1.94,6.09,4.8,0.81,5.16
446,P036,Matha (Acanthurus mata),2,4.02,5.11,8.65,5.18,3.54,2.03,5.94,5.68,1.25,5.74
447,P037,Milk fish (Chanos chanos),1,3.1,5.15,8.3,7.36,3.3,1.86,5.2,5.87,0.9,6.12
448,P038,Moon fish (Mene maculata),1,4.94,4.89,8.27,5.84,3.12,2.01,4.73,4.64,1.22,5.54
449,P039,Mullet (Mugil cephalus),3,3.35,4.66,7.91,6.41,2.96,1.39,5.44,5.92,0.93,5.32
450,P040,Mural (Tylosurus crocodilus crocodilus),1,4.77,4.86,8.44,5.5,3.95,1.57,5.56,5.21,0.8,5.46
451,P041,Myil meen (Istiophorus platypterus),2,2.95,4.78,7.94,7.21,2.03,1.94,4.48,5.34,0.9,5.94
452,P042,Nalla bontha (Epinephelus sp.),1,3.51,4,7.31,6.27,3.08,2.05,4.01,6.62,1.12,4.91
453,P043,Narba (Caranx sexfasciatus),2,5.32,4.44,7.58,6.54,3.88,1.92,5.47,4.81,1.23,5.43
454,P044,Paarai (Caranx heberi),1,3.09,4.11,7.82,7.08,3.96,1.15,4.86,4.37,1.12,5.2
455,P045,Padayappa (Canthidermis maculata),1,2.45,4.69,7.94,6.22,3.27,1.35,3.84,5.02,1.22,5.23
456,P046,Pali kora (Panna microdon),1,2.9,4.64,7.74,6.85,3.94,1.33,3.78,5.9,0.86,5.15
457,P047,Pambada (Lepturacanthus savala),2,2.73,4.58,7.77,6.44,3.38,1.27,5.51,6.13,0.94,5.2
458,P048,Pandukopa (Pseudosciaena manchurica),1,4,4.89,8.37,5.28,2.63,1.1,5.71,5.29,0.9,5.94
459,P049,Parava (Lactarius lactarius),1,2.6,4.77,8.11,5.25,3.73,1.76,4.18,4.82,0.89,5.09
460,P050,Parcus (Psettodes erumei),1,3.07,4.81,8.44,6.08,3.81,2.07,5.33,5.2,0.88,5.61
461,P051,Parrot fish (Scarus ghobban),1,2.61,4.86,8.06,7.06,3.62,1.96,5.34,5.18,0.78,5.66
462,P052,Perinkilichai (Pinjalo pinjalo),1,3.16,4.93,8.49,7.18,3.2,1.35,5.08,5.18,0.87,5.53
463,P053,Phopat (Coryphaena hippurus),4,3.40,4.66,7.72,7.30,3.02,1.57,3.99,5.18,1.00,5.39
464,P054,Piranha (Pygopritis sp.),1,3.26,4.51,8.05,7.24,2.87,1.14,3.74,5.1,1.05,5.15
465,P055,"Pomfret, black (Parastromateus niger)",2,4.36,4.77,8.11,5.52,2.42,1.52,6.43,5.12,1.12,5.95
466,P056,"Pomfret, snub nose (Trachinotus blochii)",2,3.19,5.52,7.94,6.04,3.13,1.71,4.25,4.89,0.89,5.45
467,P057,"Pomfret, white (Pampus argenteus)",2,3.8,4.64,8.21,7.03,2.99,1.75,6.38,5.28,1.11,5.42
