0,code,name,regn,water,protcnt,ash,fatce,fibtg,fibins,fibsol,choavldf,enerc
60,C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,84.39,4.26,1.47,0.50,4.29,3.35,0.94,5.09,185
61,C013,"Cabbage, Chinese (Brassica rupa)",1,93.19,1.58,0.73,0.13,2.01,1.55,0.45,2.36,75
62,C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,89.53,3.63,0.81,0.27,2.98,2.04,0.94,2.79,126
63,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,91.85,1.36,0.67,0.12,2.76,1.91,0.85,3.25,90
64,C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,91.94,1.39,0.71,0.21,2.21,1.58,0.62,3.54,97
65,C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,87.64,3.90,1.22,0.42,3.43,2.37,1.06,3.39,148
66,C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,83.61,3.42,2.30,1.38,5.60,4.32,1.29,3.69,182
67,C019,Drumstick leaves (Moringa oleifera),3,75.65,6.41,2.46,1.64,8.21,6.12,2.10,5.62,282
68,C020,Fenugreek leaves (Trigonella foenum graecum),5,86.73,3.68,1.69,0.83,4.90,3.20,1.70,2.17,144
69,C021,Garden cress (Lepidium sativum),2,84.02,5.62,2.48,0.80,2.60,1.77,0.83,4.48,208
70,C022,"Gogu leaves, green (Hibiscus cannabinus)",4,87.42,1.86,0.98,1.09,4.59,3.24,1.35,4.06,152
71,C023,"Gogu leaves, red (Hibiscus cannabinus)",1,87.98,1.85,0.97,1.07,3.89,2.66,1.23,4.24,153
72,C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,86.20,3.12,1.42,0.35,2.76,1.81,0.95,6.16,178
73,C025,Lettuce (Lactuca sativa),3,92.27,1.54,1.11,0.27,1.79,1.32,0.47,3.01,91
74,C026,Mustard leaves (Brassica juncea),3,88.17,3.52,1.47,0.51,3.92,3.04,0.87,2.41,127
75,C027,Pak Choi leaves (Brassica rapa var. Chinensis),1,93.56,1.41,1.10,0.25,1.91,1.44,0.47,1.78,67
76,C028,Parsley (Petroselinum crispum),3,77.76,5.55,2.25,1.14,3.87,2.79,1.09,9.43,305
77,C029,Ponnaganni (Alternanthera sessilis),2,79.43,5.29,2.65,0.71,6.74,5.63,1.11,5.17,213
78,C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,85.82,4.21,2.24,0.74,2.25,1.56,0.69,4.75,185
79,C031,Radish leaves (Raphanus sativus),6,91.19,2.22,1.50,0.51,1.82,1.18,0.63,2.77,109
80,C032,Rumex leaves (Rumex patientia),2,93.18,1.62,1.27,0.33,1.27,0.93,0.34,2.33,82
81,C033,Spinach (Spinacia oleracea),6,90.31,2.14,2.47,0.64,2.38,1.52,0.86,2.05,102
82,C034,"Tamarind leaves, tender (Tamarindus indica)",3,71.69,5.84,1.25,0.49,10.70,9.34,1.36,10.04,299
83,D001,Ash gourd (Benincasa hispida),6,92.17,0.79,0.70,0.14,3.37,2.52,0.85,2.84,73
84,D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,94.56,1.33,0.55,0.35,1.55,1.06,0.49,1.67,68
85,D003,"Bean scarlet, tender (Phaseolus coccineus)",5,85.51,2.86,0.96,0.99,4.50,3.76,0.74,5.16,179
86,D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,90.87,1.44,0.86,0.24,3.78,3.10,0.68,2.82,87
87,D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,91.60,1.34,0.81,0.24,3.49,2.96,0.53,2.53,79
88,D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,91.24,1.61,0.88,0.26,3.72,3.05,0.67,2.29,81
89,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,95.17,0.53,0.36,0.13,2.12,1.65,0.48,1.68,46
90,D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,94.50,0.42,0.34,0.12,2.10,1.72,0.38,2.53,57
91,D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,94.63,0.49,0.40,0.13,2.11,1.74,0.37,2.25,54
92,D010,Brinjal-1 (Solanum melongena),1,89.95,1.77,0.83,0.39,3.57,2.37,1.20,3.49,114
93,D011,Brinjal-2 (Solanum melongena),1,90.28,1.82,0.85,0.34,4.01,2.80,1.21,2.71,99
94,D012,Brinjal-3 (Solanum melongena),2,90.02,1.36,0.65,0.33,4.26,3.10,1.16,3.38,102
95,D013,Brinjal-4 (Solanum melongena),4,90.28,1.51,0.66,0.31,4.04,3.03,1.01,3.19,100
96,D014,Brinjal-5 (Solanum melongena),3,89.45,1.38,0.72,0.29,4.13,3.10,1.03,4.02,111
97,D015,Brinjal-6 (Solanum melongena),2,90.57,1.46,0.72,0.29,3.68,3.00,0.68,3.29,97
98,D016,Brinjal-7 (Solanum melongena),1,91.25,1.40,0.57,0.37,3.32,2.30,1.02,3.10,98
99,D017,Brinjal-8 (Solanum melongena),3,89.28,1.82,0.80,0.33,4.01,2.79,1.22,3.75,117
100,D018,Brinjal-9 (Solanum melongena),2,89.83,1.47,0.83,0.35,4.00,2.94,1.06,3.52,106
101,D019,Brinjal-10 (Solanum melongena),2,89.38,1.68,0.72,0.25,3.90,2.74,1.16,4.08,116
102,D020,Brinjal-11 (Solanum melongena),6,89.93,1.43,0.68,0.31,4.12,2.95,1.17,3.53,105
103,D021,Brinjal-12 (Solanum melongena),2,90.94,1.60,0.58,0.27,3.89,2.70,1.19,2.73,93
104,D022,Brinjal-13 (Solanum melongena),1,89.14,1.49,0.64,0.31,3.92,2.61,1.31,4.51,124
105,D023,Brinjal-14 (Solanum melongena),3,90.31,1.56,0.64,0.35,3.87,2.50,1.37,3.27,106
106,D024,Brinjal-15 (Solanum melongena),4,89.44,1.58,0.74,0.29,3.99,2.82,1.17,3.96,114
107,D025,Brinjal-16 (Solanum melongena),1,90.39,1.26,0.80,0.34,3.74,2.54,1.20,3.46,103
108,D026,Brinjal-17 (Solanum melongena),1,90.83,1.18,0.81,0.36,3.94,2.80,1.14,2.89,91
109,D027,Brinjal-18 (Solanum melongena),3,89.07,1.47,0.66,0.33,4.38,3.23,1.15,4.10,116
110,D028,Brinjal-19 (Solanum melongena),3,90.41,1.26,0.66,0.31,3.97,2.81,1.16,3.39,100
111,D029,Brinjal-20 (Solanum melongena),5,90.65,1.44,0.68,0.34,3.73,2.64,1.09,3.15,99
112,D030,Brinjal-21 (Solanum melongena),2,89.83,1.36,0.69,0.35,3.85,2.57,1.28,3.93,113
113,D031,Brinjal - all varieties (Solanum melongena),6,90.00,1.48,0.70,0.32,3.98,2.84,1.14,3.52,106
114,D032,Broad beans (Vicia faba),3,84.20,3.85,1.05,0.15,8.63,6.61,2.03,2.11,123
115,D033,"Capsicum, green (Capsicum annuum)",6,93.89,1.11,0.76,0.34,2.06,1.33,0.73,1.84,68
116,D034,"Capsicum, red (Capsicum annuum)",4,92.99,1.47,0.76,0.47,2.19,1.58,0.61,2.14,83
117,D035,"Capsicum, yellow (Capsicum annuum)",4,93.38,1.35,0.72,0.41,2.19,1.39,0.80,1.95,78
118,D036,Cauliflower (Brassica oleracea),6,90.76,2.15,0.91,0.44,3.71,2.66,1.04,2.03,96
119,D037,Celery stalk (Apium graveolens),3,92.87,0.98,1.50,0.24,2.09,1.57,0.52,2.33,69
120,D038,Cho-cho-marrow (Sechium edule),4,93.78,0.66,0.38,0.15,1.55,1.19,0.36,3.47,79
121,D039,Cluster beans (Cyamopsis tetragonobola),6,84.65,3.55,1.68,0.37,4.83,3.55,1.28,4.91,168
122,D040,"Colocasia, stem, black (Colocasia antiquorum)",1,91.15,0.76,0.91,0.34,3.01,1.81,1.20,3.83,100
123,D041,"Colocasia, stem, green (Colocasia antiquorum)",5,92.67,0.91,1.00,0.22,2.33,1.26,1.07,2.86,81
124,D042,"Corn, Baby (Zea mays)",6,75.44,2.69,2.79,1.33,6.09,4.47,1.62,11.66,306
125,D043,"Cucumber, green, elongate (Cucumis sativus)",6,92.96,0.71,0.54,0.16,2.14,1.52,0.63,3.48,82
126,D044,"Cucumber, green, short (Cucumis sativus)",6,93.52,0.83,0.52,0.18,2.13,1.60,0.54,2.82,73
127,D045,"Cucumber, orange, round (Cucumis sativus)",2,92.80,0.98,0.52,0.24,2.46,1.78,0.68,3.01,82
128,D046,Drumstick (Moringa oleifera),6,85.39,2.62,1.27,0.12,6.83,5.60,1.23,3.76,123
129,D047,"Field beans, tender, broad (Vicia faba)",2,86.98,3.06,0.94,0.64,5.64,4.84,0.79,2.75,129
130,D048,"Field beans, tender, lean (Vicia faba)",6,85.57,3.71,1.08,0.60,6.19,5.37,0.82,2.85,140
131,D049,"French beans, country (Phaseolus vulgaris)",5,89.14,2.49,1.05,0.26,4.38,3.88,0.51,2.68,102
132,D050,"French beans, hybrid (Phaseolus vulgaris)",2,90.11,2.12,0.77,0.19,4.18,3.53,0.65,2.63,93
133,D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,85.52,1.98,0.99,0.35,7.69,7.15,0.54,3.48,110
134,D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,72.32,5.79,1.02,0.44,8.63,7.83,0.80,11.81,322
135,D053,Knol - Khol (Brassica oleracea),6,93.14,1.58,0.79,0.35,2.75,2.31,0.44,1.39,67
136,D054,"Kovai, big (Coccinia cordifolia)",6,92.78,1.39,0.58,0.24,3.00,2.19,0.81,2.01,73
137,D055,"Kovai, small (Coccinia cordifolia)",1,92.40,1.22,0.47,0.24,3.25,2.14,1.12,2.41,80
138,D056,Ladies finger (Abelmoschus esculentus),6,89.06,2.08,0.94,0.22,4.08,2.80,1.28,3.62,115
139,D057,"Mango, green, raw (Mangifera indica)",6,85.14,0.69,0.49,0.08,3.01,1.68,1.34,10.59,205
140,D058,"Onion, stalk (Allium cepa)",6,88.35,2.07,1.13,0.26,5.21,3.76,1.45,2.99,107
141,D059,"Papaya, raw (Carica papaya)",6,92.04,0.50,0.55,0.23,2.28,1.32,0.96,4.40,100
142,D060,Parwar (Trichosanthes dioica),6,91.57,1.40,0.59,0.30,2.61,1.82,0.79,3.54,101
143,D061,"Peas, fresh (Pisum sativum)",6,73.37,7.25,1.05,0.13,6.32,5.04,1.28,11.88,340
144,D062,"Plantain, flower (Musa x paradisiaca)",6,89.14,1.47,1.35,0.63,5.25,4.72,0.52,2.15,89
145,D063,"Plantain, green (Musa x paradisiaca)",6,76.15,1.18,1.27,0.23,3.60,2.79,0.81,17.58,334
146,D064,"Plantain, stem (Musa x paradisiaca)",6,87.53,0.35,1.20,0.16,2.12,1.33,0.80,8.64,165
147,D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,91.73,0.87,0.47,0.18,2.53,1.28,1.25,4.22,103
148,D066,"Pumpkin, orange, round (Cucurbita maxima)",6,91.85,0.84,0.58,0.16,2.56,1.44,1.12,4.00,97
149,D067,"Red gram, tender, fresh (Cajanus cajan)",1,64.00,8.09,1.64,0.92,5.90,3.66,2.25,19.46,520
150,D068,Ridge gourd (Luffa acutangula),6,94.99,0.91,0.44,0.14,1.81,1.20,0.61,1.72,55
151,D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,94.27,0.98,0.53,0.13,1.85,1.31,0.54,2.24,64
152,D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,94.81,0.98,0.42,0.25,2.27,1.69,0.58,1.27,52
153,D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,94.92,0.89,0.45,0.25,2.27,1.69,0.58,1.23,50
154,D072,"Snake gourd, short (Trichosanthes anguina)",1,94.35,0.54,0.41,0.26,2.29,1.61,0.68,2.15,61
155,D073,"Tinda, tender (Praecitrullus fistulosus)",6,94.41,1.02,0.51,0.17,2.00,1.68,0.32,1.90,58
156,D074,"Tomato, green (Lycopersicon esculentum)",6,93.21,1.12,0.60,0.27,1.62,1.05,0.57,3.18,87
157,D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,93.79,0.76,0.43,0.25,1.58,1.27,0.30,3.20,79
158,D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,93.62,0.90,0.52,0.47,1.77,1.44,0.33,2.71,82
159,D077,"Zucchini, green (Cucurbita pepo)",2,92.83,1.10,0.93,0.51,2.30,1.42,0.88,2.33,84
160,D078,"Zucchini, yellow (Cucurbita pepo)",2,93.15,1.31,1.08,0.44,1.84,1.37,0.47,2.20,79
161,E001,"Apple, big (Malus domestica)",6,83.01,0.29,0.36,0.64,2.59,1.43,1.16,13.11,261
162,E002,"Apple, green (Malus domestica)",6,85.54,0.46,0.31,0.50,2.54,1.72,0.81,10.65,214
163,E003,"Apple, small (Malus domestica)",6,82.91,0.31,0.24,0.53,2.06,1.44,0.62,13.95,267
164,E004,"Apple, small, Kashmir (Malus sylvestris)",1,82.79,0.27,0.29,0.60,2.07,1.53,0.54,13.99,269
165,E005,"Apricot, dried (Prunus armeniaca)",6,16.68,3.17,3.46,0.74,3.32,2.72,0.60,72.63,1321
166,E006,"Apricot, processed (Prunus armeniaca)",3,85.75,1.47,0.61,0.64,0.59,0.43,0.16,10.93,236
167,E007,Avocado fruit (Persea americana),1,73.56,2.95,1.19,13.86,6.69,5.26,1.42,1.75,604
168,E008,Bael fruit (Aegle marmelos),1,61.36,2.63,0.91,0.57,6.31,3.31,3.00,28.21,569
169,E009,"Banana, ripe, montham (Musa x paradisiaca)",1,70.13,1.25,1.15,0.32,2.21,1.43,0.78,24.95,463
170,E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,71.32,1.49,1.09,0.35,2.33,1.29,1.04,23.41,445
171,E011,"Banana, ripe, red (Musa x paradisiaca)",1,70.28,1.29,0.95,0.29,1.98,1.26,0.72,25.21,467
172,E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,71.93,1.23,0.94,0.33,1.94,1.23,0.71,23.63,440
173,E013,Black berry (Rubus fruticosus),5,82.94,0.92,0.52,0.63,4.35,3.44,0.91,10.64,227
174,E014,"Cherries, red (Prunus cerasus)",4,83.61,1.49,0.45,0.46,2.12,1.35,0.78,11.87,250
175,E015,"Currants, black (Ribes nigrum)",1,83.27,1.51,0.69,0.53,4.07,2.43,1.64,9.93,227
176,E016,Custard apple (Annona squamosa),1,71.55,1.62,0.68,0.67,5.10,3.17,1.93,20.38,414
177,E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,11.14,2.45,2.20,0.35,8.95,7.53,1.42,74.91,1340
178,E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,13.13,2.38,2.39,0.35,9.10,7.57,1.53,72.67,1301
179,E019,"Dates, processed (Phoenix dactylifera)",2,22.01,1.18,1.93,0.41,6.52,5.68,0.84,67.95,1197
180,E020,Fig (Ficus carica),6,75.60,2.03,1.08,0.37,4.64,2.59,2.05,16.28,341
181,E021,Goosberry (Emblica officinalis),5,87.02,0.34,0.34,0.16,7.75,6.20,1.55,4.39,99
182,E022,"Grapes, seeded, round, black (Vitis vinifera)",4,83.88,0.76,0.46,0.32,1.35,0.82,0.52,13.23,254
183,E023,"Grapes, seeded, round, green (Vitis vinifera)",5,85.07,0.77,0.43,0.29,1.25,0.81,0.44,12.19,235
184,E024,"Grapes, seeded, round, red (Vitis vinifera)",5,84.46,0.95,0.48,0.29,1.28,0.85,0.43,12.55,244
185,E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,75.30,1.41,0.70,0.46,1.64,0.98,0.66,20.48,395
186,E026,"Grapes, seedless, round, green (Vitis vinifera)",5,85.55,0.62,0.47,0.26,1.28,0.85,0.44,11.81,224
187,E027,"Grapes, seedless, round, black (Vitis vinifera)",5,76.90,1.24,0.49,0.35,1.15,0.83,0.32,19.86,374
188,E028,"Guava, white flesh (Psidium guajava)",5,83.79,1.44,0.72,0.32,8.59,7.14,1.45,5.13,135
189,E029,"Guava, pink flesh (Psidium guajava)",5,81.22,1.19,0.81,0.25,7.39,6.12,1.28,9.14,195
190,E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,78.56,2.74,0.91,0.15,3.62,2.21,1.41,14.01,302
191,E031,"Jambu fruit, ripe (Syzygium cumini)",2,83.33,0.82,0.31,0.17,3.07,2.40,0.67,12.30,235
192,E032,Karonda fruit (Carissa carandas),1,86.04,1.15,1.02,1.67,7.25,5.87,1.38,2.87,141
193,E033,"Lemon, juice (Citrus limon)",6,91.59,0.41,0.28,0.75,0,6.97,0,0,153
194,E034,"Lime, sweet,pulp (Citrus limetta)",6,91.32,0.76,0.47,0.20,2.07,1.33,0.74,5.18,114
195,E035,Litchi (Nephelium litchi),4,85.56,0.99,0.44,0.26,1.34,0.81,0.53,11.41,225
196,E036,"Mango, ripe, banganapalli (Mangifera indica)",6,88.44,0.54,0.42,0.55,1.88,1.01,0.87,8.18,175
197,E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,86.65,0.52,0.32,0.53,1.67,1.03,0.64,10.32,209
198,E038,"Mango, ripe, himsagar (Mangifera indica)",3,88.04,0.46,0.38,0.54,1.55,0.82,0.73,9.03,187
199,E039,"Mango, ripe, kesar (Mangifera indica)",4,85.07,0.54,0.44,0.57,2.02,1.09,0.93,11.36,231
200,E040,"Mango, ripe, neelam (Mangifera indica)",2,88.41,0.68,0.38,0.55,1.77,0.97,0.79,8.21,178
201,E041,"Mango, ripe, paheri (Mangifera indica)",2,87.69,0.68,0.42,0.58,1.97,0.99,0.98,8.67,188
202,E042,"Mango, ripe, totapari (Mangifera indica)",1,84.14,0.41,0.47,0.49,1.73,0.95,0.78,12.75,248
203,E043,Mangosteen (Garcinia mangostana),1,85.52,0.63,0.33,0.24,1.87,1.23,0.64,11.41,219
204,E044,Manila tamarind (Pithecellobium dulce),1,74.54,3.56,2.82,1.14,4.40,3.30,1.10,13.54,342
205,E045,"Musk melon, orange flesh (Cucumis melon)",5,92.97,0.42,0.52,0.35,1.51,0.84,0.67,4.24,97
206,E046,"Musk melon, yellow flesh (Cucumis melon)",6,91.84,0.53,0.48,0.26,1.49,0.79,0.70,5.40,116
207,E047,"Orange, pulp (Citrus aurantium)",6,89.61,0.70,0.36,0.13,1.29,0.73,0.56,7.92,156
208,E048,"Palm fruit, tender (Borassus flabellifer)",1,91.93,0.50,0.13,0.12,2.40,1.87,0.53,4.92,101
209,E049,"Papaya, ripe (Carcia papaya)",6,91.47,0.42,0.51,0.16,2.83,1.75,1.08,4.61,100
210,E050,Peach (Prunus communis),1,88.31,0.86,0.51,0.37,2.13,1.22,0.91,7.82,168
211,E051,Pear (Pyrus sp.),6,86.49,0.36,0.32,0.27,4.48,4.02,0.46,8.09,157
212,E052,Phalsa (Grewia asiatica),2,77.48,1.66,1.09,0.14,4.54,3.44,1.09,15.09,299
213,E053,Pineapple (Ananas comosus),6,86.06,0.52,0.38,0.16,3.46,2.88,0.59,9.42,180
214,E054,Plum (Prunus domestica),3,84.44,0.64,0.35,0.40,2.07,1.23,0.84,12.10,238
215,E055,"Pomegranate, maroon seeds (Punica granatum)",6,83.55,1.33,0.57,0.15,2.83,2.26,0.57,11.58,229
216,E056,Pummelo (Citrus maxima),3,86.97,0.68,0.49,0.42,0.80,0.49,0.31,10.64,210
217,E057,"Raisins, dried, black (Vitis vinifera)",6,19.69,2.57,2.19,0.34,3.92,2.55,1.37,71.29,1279
218,E058,"Raisins, dried, golden (Vitis vinifera)",6,21.50,2.76,2.04,0.35,4.56,3.04,1.53,68.79,1241
219,E059,Rambutan (Nephelium lappaceum),1,80.87,0.68,0.43,0.16,1.02,0.71,0.30,16.84,306
220,E060,Sapota (Achras sapota),6,73.64,0.92,0.68,1.26,9.60,8.46,1.14,13.90,307
221,E061,Soursop (Annona muricata),1,80.85,0.74,0.58,0.94,4.95,3.79,1.16,11.94,260
222,E062,Star fruit (Averrhoa carambola),1,91.18,0.79,0.33,0.39,2.81,2.17,0.64,4.51,110
223,E063,Strawberry (Fragaria ananassa),6,92.03,0.97,0.54,0.56,2.50,1.51,0.99,3.40,103
224,E064,"Tamarind, pulp (Tamarindus indicus)",6,20.83,2.92,3.44,0.15,5.31,3.73,1.58,67.35,1207
225,E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,94.54,0.60,0.13,0.16,0.70,0.35,0.34,3.86,85
