,code,name,regn,f12d0,f14d0,f15d0,f16d0,f18d0,f20d0,f22d0,f24d0,f16d1c
36,P037,Milk fish (Chanos chanos),1,0,15.37,4.42,231,106,4.21,4.14,0,18.02
37,P038,Moon fish (Mene maculata),1,0,293,67.4,1751,721,40.94,32.96,23.61,336
38,P039,Mullet (Mugil cephalus),3,0,54.67,18.50,305,114,1.99,1.53,0,84.01
39,P040,Mural (Tylosurus crocodilus crocodilus),1,0,26.63,8.1,242,72.52,0,0,0,35.46
40,P041,Myil meen (Istiophorus platypterus),2,0,5.94,0.56,89.37,51.87,1.84,0,0,9.19
41,P042,Nalla bontha (Epinephelus sp.),1,0,18.45,3.48,151,62.8,2.51,0,0,31.42
42,P043,Narba (Caranx sexfasciatus),2,0,29.59,9.57,338,213,7.45,2.44,2.58,41.23
43,P044,Paarai (Caranx heberi),1,0,63.05,13.28,413,216,8.38,6.03,0,70.25
44,P045,Padayappa (Canthidermis maculata),1,0,3.51,2.88,95.5,67.48,0,0,0,6.5
45,P046,Pali kora (Panna microdon),1,0,59.38,10.9,547,129,9.02,6.55,0,172
46,P047,Pambada (Lepturacanthus savala),2,0,214,35.05,1226,451,17.67,9.97,6.56,248
47,P048,Pandukopa (Pseudosciaena manchurica),1,0,10.89,2.92,117,64.25,0,0,0,17.03
48,P049,Parava (Lactarius lactarius),1,0,82.46,12.71,798,265,16.27,9.99,0,138
49,P050,Parcus (Psettodes erumei),1,0,4.84,2.36,101,57.55,0,0,0,9.45
50,P051,Parrot fish (Scarus ghobban),1,0,10.07,1.81,122,37.08,1.17,2.34,0,18.24
51,P052,Perinkilichai (Pinjalo pinjalo),1,0,13.14,0,185,91.47,0,0,0,16.89
52,P053,Phopat (Coryphaena hippurus),4,0,34.95,9.00,259,136,2.86,0,0,50.32
53,P054,Piranha (Pygopritis sp.),1,0,79.47,8.32,1460,419,6.93,0,0,392
