,code,name,regn,thia,ribf,nia,pantac,vitb6c,biot,folsum,vitc
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,0.04,0.04,0.45,0.24,0.50,1.92,27.44,0
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,0.04,0.04,0.52,0.28,0.33,1.87,24.65,0
2,A003,Bajra (Pennisetum typhoideum),6,0.25,0.20,0.86,0.50,0.27,0.64,36.11,0
3,A004,Barley (Hordeum vulgare),6,0.36,0.18,2.84,0.14,0.31,2.38,31.58,0
4,A005,Jowar (Sorghum vulgare),6,0.35,0.14,2.10,0.27,0.28,0.70,39.42,0
5,A006,"Maize, dry (Zea mays)",6,0.33,0.09,2.69,0.34,0.34,0.49,25.81,0
6,A007,"Maize, tender, local (Zea mays)",6,0.17,0.12,1.13,0.35,0.45,1.70,62.96,4.26
7,A008,"Maize, tender, sweet (Zea mays)",4,0.10,0.14,1.14,0.32,0.38,1.91,59.71,5.72
8,A009,Quinoa (Chenopodium quinoa),1,0.83,0.22,1.70,0.62,0.21,0.62,173,0
9,A010,Ragi (Eleusine coracana),5,0.37,0.17,1.34,0.29,0.05,0.88,34.66,0
10,A011,Rice flakes (Oryza sativa),6,0.12,0.04,1.60,0.48,0.02,0.39,8.46,0
11,A012,Rice puffed (Oryza sativa),6,0.11,0.04,1.87,0.38,0.07,1.26,0,0
12,A013,"Rice, raw, brown (Oryza sativa)",6,0.27,0.06,3.40,0.61,0.37,1.38,11.51,0
13,A014,"Rice, parboiled, milled (Oryza sativa)",6,0.17,0.06,2.51,0.55,0.22,0.31,9.75,0
14,A015,"Rice, raw, milled (Oryza sativa)",6,0.05,0.05,1.69,0.57,0.12,0.60,9.32,0
15,A016,Samai (Panicum miliare),6,0.26,0.05,1.29,0.60,0.04,6.03,36.20,0
16,A017,Varagu (Setaria italica),5,0.29,0.20,1.49,0.63,0.07,1.49,39.49,0
17,A018,"Wheat flour, refined (Triticum aestivum)",6,0.15,0.06,0.77,0.72,0.08,0.58,16.25,0
18,A019,"Wheat flour, atta (Triticum aestivum)",6,0.42,0.15,2.37,0.87,0.25,0.76,29.22,0
19,A020,"Wheat, whole (Triticum aestivum)",6,0.46,0.15,2.68,1.08,0.26,1.03,30.09,0
20,A021,"Wheat, bulgur (Triticum aestivum)",6,0.24,0.12,2.05,0.84,0.24,2.50,26.30,0
21,A022,"Wheat, semolina (Triticum aestivum)",6,0.29,0.04,1.13,0.75,0.11,0.44,25.68,0
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,0.13,0.01,0.86,0.52,0.03,2.00,14.35,0
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,0.12,0.01,0.67,0.49,0.03,1.34,13.21,0
24,B001,"Bengal gram, dal (Cicer arietinum)",6,0.35,0.15,1.87,1.60,0.19,0.81,182,0
25,B002,"Bengal gram, whole (Cicer arietinum)",6,0.37,0.24,2.10,2.38,0.36,0.93,233,0
26,B003,"Black gram, dal (Phaseolus mungo)",6,0.21,0.09,1.76,2.95,0.22,0.81,88.75,0
27,B004,"Black gram, whole (Phaseolus mungo)",6,0.32,0.11,1.85,3.98,0.53,1.28,134,0
28,B005,"Cowpea, brown (Vigna catjang)",6,0.33,0.09,1.64,1.47,0.30,3.97,231,0
29,B006,"Cowpea, white (Vigna catjang)",1,0.34,0.09,1.51,1.66,0.26,4.28,249,0
30,B007,"Field bean, black (Phaseolus vulgaris)",1,0.35,0.07,1.88,0.85,0.35,0.66,291,0
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,0.32,0.07,2.04,0.97,0.37,0.76,292,0
32,B009,"Field bean, white (Phaseolus vulgaris)",5,0.37,0.07,1.96,0.92,0.38,0.68,289,0
33,B010,"Green gram, dal (Phaseolus aureus)",6,0.35,0.12,1.84,1.68,0.19,0.65,92.11,0
34,B011,"Green gram, whole (Phaseolus aureus)",6,0.45,0.27,2.16,2.02,0.35,1.35,145,0
35,B012,"Horse gram, whole (Dolicus biflorus)",6,0.32,0.24,1.82,1.58,0.21,0.59,163,0
36,B013,Lentil dal (Lens culinaris),6,0.34,0.16,1.81,1.32,0.18,1.25,49.99,0
37,B014,"Lentil whole, brown (Lens culinaris)",6,0.40,0.22,2.54,1.84,0.46,1.74,132,0
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,0.42,0.22,2.56,1.68,0.47,1.63,121,0
39,B016,Moth bean (Vigna aconitifolia),6,0.45,0.09,1.87,1.41,0.16,2.12,349,0
40,B017,"Peas, dry (Pisum sativum)",6,0.56,0.16,2.69,1.26,0.26,0.53,110,0
41,B018,"Rajmah, black (Phaseolus vulgaris)",2,0.21,0.19,2.61,1.91,0.23,0.63,332,0
42,B019,"Rajmah, brown (Phaseolus vulgaris)",6,0.26,0.21,2.37,2.06,0.21,0.77,330,0
43,B020,"Rajmah, red (Phaseolus vulgaris)",3,0.30,0.19,2.42,1.82,0.21,0.77,316,0
44,B021,"Red gram, dal (Cajanus cajan)",6,0.45,0.11,2.09,1.27,0.24,0.31,108,0
45,B022,"Red gram, whole (Cajanus cajan)",6,0.74,0.15,2.42,1.56,0.42,0.65,229,0
46,B023,Ricebean (Vigna umbellata ),1,0.46,0.14,2.32,0.98,0.13,2.65,122,1.11
47,B024,"Soya bean, brown (Glycine max)",6,0.59,0.24,2.12,1.97,0.43,0.73,297,0
48,B025,"Soya bean, white (Glycine max)",1,0.61,0.23,2.28,1.97,0.45,0.77,288,0
49,C001,Agathi leaves (Sesbania grandiflora),1,0.26,0.33,1.18,0.53,0.22,7.75,120,121
50,C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,0.01,0.19,0.71,0.41,0.21,2.46,70.33,83.54
51,C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,0.010,0.269,0.62,0.37,0.22,2.95,81.95,86.20
52,C004,"Amaranth leaves, red and green mix (Amaranthus gangeticus)",4,0.01,0.22,0.69,0.37,0.19,2.41,69.08,77.24
53,C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,0.01,0.13,0.63,0.33,0.22,3.07,41.44,82.56
54,C006,"Amaranth spinosus, leaves, red and green mix (Amaranthus spinosus)",2,0.01,0.15,0.72,0.31,0.20,2.91,44.23,77.30
55,C007,Basella leaves (Basella alba),2,0.06,0.15,0.46,0.48,0.18,1.07,90.31,63.35
56,C008,Bathua leaves (Chenopodium album),2,0.06,0.51,0.54,0.41,0.17,1.25,42.55,41.03
57,C009,Beet greens (Beta vulgaris),6,0.02,0.17,0.43,0.29,0.13,4.66,11.52,35.83
58,C010,"Betel leaves, big (kolkata) (Piper betle)",6,0.03,0.08,0.45,0.51,0.04,2.18,15.96,18.40
59,C011,"Betel leaves, small (Piper betle)",4,0.02,0.07,0.47,0.47,0.04,1.28,16.56,24.51
60,C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,0.06,0.16,0.50,0.47,0.19,2.45,85.01,89.45
61,C013,"Cabbage, Chinese (Brassica rupa)",1,0.01,0.05,0.38,0.58,0.19,1.08,54.51,19.32
62,C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,0.03,0.05,0.26,0.49,0.24,1.38,63.46,40.76
63,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,0.03,0.05,0.24,0.24,0.13,1.41,46.36,33.25
64,C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,0.04,0.05,0.27,0.25,0.17,1.43,34.81,43.49
65,C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,0.05,0.05,0.21,0.34,0.23,1.38,42.99,52.84
66,C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,0.08,0.07,0.80,0.27,0.29,12.10,159,40.71
67,C019,Drumstick leaves (Moringa oleifera),3,0.06,0.45,0.82,0.39,0.87,2.26,42.89,108
68,C020,Fenugreek leaves (Trigonella foenum graecum),5,0.11,0.22,0.70,0.49,0.38,4.82,75.26,58.25
69,C021,Garden cress (Lepidium sativum),2,0.03,0.06,1.20,0.22,0.20,12.01,58.10,42.75
70,C022,"Gogu leaves, green (Hibiscus cannabinus)",4,0.13,0.06,0.58,0.70,0.33,3.38,74.94,29.65
71,C023,"Gogu leaves, red (Hibiscus cannabinus)",1,0.12,0.05,0.56,0.71,0.31,3.43,88.63,35.43
72,C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,0.06,0.15,0.86,0.27,0.28,13.57,41.55,71.11
73,C025,Lettuce (Lactuca sativa),3,0.05,0.09,0.17,0.11,0.08,2.15,30.69,11.91
74,C026,Mustard leaves (Brassica juncea),3,0.08,0.18,0.58,0.26,0.16,1.70,110,60.32
75,C027,Pak Choi leaves (Brassica rapa var. Chinensis),1,0.02,0.22,0.66,0.31,0.96,10.25,98.50,55.60
76,C028,Parsley (Petroselinum crispum),3,0.19,0.10,0.36,0.20,0.19,13.47,197,133
77,C029,Ponnaganni (Alternanthera sessilis),2,0.02,0.10,0.32,0.21,0.19,11.18,48.42,103
78,C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,0.07,0.13,1.49,0.36,0.17,3.40,33.82,12.33
79,C031,Radish leaves (Raphanus sativus),6,0.06,0.13,0.47,0.14,0.16,4.39,53.14,65.76
80,C032,Rumex leaves (Rumex patientia),2,0.03,0.14,0.33,0.25,0.09,1.30,41.01,53.76
81,C033,Spinach (Spinacia oleracea),6,0.16,0.10,0.33,0.22,0.15,4.14,142,30.28
82,C034,"Tamarind leaves, tender (Tamarindus indica)",3,0.12,0.03,0.79,0.30,0.14,3.29,91.82,28.22
83,D001,Ash gourd (Benincasa hispida),6,0.03,0.01,0.12,0.37,0.18,2.01,14.11,11.41
84,D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,0.06,0.06,0.25,0.22,0.13,5.93,17.05,15.74
85,D003,"Bean scarlet, tender (Phaseolus coccineus)",5,0.13,0.12,0.52,0.42,0.31,12.26,45.26,6.61
86,D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,0.05,0.04,0.27,0.33,0.05,5.76,60.28,46.53
87,D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,0.06,0.04,0.29,0.36,0.04,5.55,51.45,50.87
88,D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,0.06,0.04,0.30,0.28,0.05,6.85,60.03,54.30
89,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,0.03,0.01,0.14,0.56,0.02,2.55,41.99,4.33
90,D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,0.03,0.01,0.14,0.50,0.02,2.33,49.59,4.54
91,D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,0.03,0.01,0.14,0.59,0.01,2.54,46.31,3.80
92,D010,Brinjal-1 (Solanum melongena),1,0.07,0.13,0.74,0.29,0.05,1.17,37.22,1.58
93,D011,Brinjal-2 (Solanum melongena),1,0.09,0.11,0.56,0.27,0.05,1.83,27.22,1.03
94,D012,Brinjal-3 (Solanum melongena),2,0.050,0.109,0.60,0.29,0.07,1.32,32.29,2.34
95,D013,Brinjal-4 (Solanum melongena),4,0.06,0.11,0.52,0.42,0.07,1.70,36.67,2.22
96,D014,Brinjal-5 (Solanum melongena),3,0.07,0.11,0.49,0.29,0.08,1.42,32.21,3.15
97,D015,Brinjal-6 (Solanum melongena),2,0.05,0.11,0.51,0.30,0.07,1.65,34.21,1.49
98,D016,Brinjal-7 (Solanum melongena),1,0.05,0.12,0.44,0.33,0.07,1.32,26.58,1.08
99,D017,Brinjal-8 (Solanum melongena),3,0.07,0.11,0.65,0.39,0.07,1.55,33.89,1.89
100,D018,Brinjal-9 (Solanum melongena),2,0.06,0.11,0.56,0.30,0.09,2.30,35.89,1.72
101,D019,Brinjal-10 (Solanum melongena),2,0.06,0.10,0.50,0.29,0.08,1.27,37.11,2.40
102,D020,Brinjal-11 (Solanum melongena),6,0.06,0.11,0.53,0.29,0.08,1.68,34.24,2.24
103,D021,Brinjal-12 (Solanum melongena),2,0.04,0.10,0.46,0.35,0.06,1.11,27.83,2.55
104,D022,Brinjal-13 (Solanum melongena),1,0.04,0.12,0.54,0.34,0.09,2.29,30.99,1.49
105,D023,Brinjal-14 (Solanum melongena),3,0.06,0.10,0.46,0.28,0.07,1.36,38.99,1.83
106,D024,Brinjal-15 (Solanum melongena),4,0.07,0.11,0.51,0.32,0.07,1.91,32.48,2.01
107,D025,Brinjal-16 (Solanum melongena),1,0.04,0.11,0.44,0.29,0.10,2.14,30.87,1.53
108,D026,Brinjal-17 (Solanum melongena),1,0.08,0.09,0.53,0.34,0.10,3.57,27.70,1.95
109,D027,Brinjal-18 (Solanum melongena),3,0.04,0.10,0.57,0.30,0.07,2.16,38.27,1.97
110,D028,Brinjal-19 (Solanum melongena),3,0.04,0.10,0.53,0.26,0.09,2.54,34.32,2.53
111,D029,Brinjal-20 (Solanum melongena),5,0.06,0.10,0.55,0.29,0.07,1.77,33.44,2.21
112,D030,Brinjal-21 (Solanum melongena),2,0.05,0.11,0.53,0.32,0.08,1.93,32.60,1.38
113,D031,Brinjal - all varieties (Solanum melongena),6,0.06,0.11,0.53,0.31,0.07,1.76,33.93,2.09
114,D032,Broad beans (Vicia faba),3,0.12,0.10,0.76,0.45,0.23,10.03,20.46,10.98
115,D033,"Capsicum, green (Capsicum annuum)",6,0.05,0.03,0.56,0.21,0.15,4.59,51.85,123
116,D034,"Capsicum, red (Capsicum annuum)",4,0.10,0.03,0.66,0.25,0.24,5.47,62.54,112
117,D035,"Capsicum, yellow (Capsicum annuum)",4,0.14,0.02,0.59,0.21,0.25,6.33,66.15,127
118,D036,Cauliflower (Brassica oleracea),6,0.04,0.07,0.31,0.62,0.13,2.47,45.95,47.14
119,D037,Celery stalk (Apium graveolens),3,0.03,0.04,0.48,0.42,0.06,2.09,22.48,12.30
120,D038,Cho-cho-marrow (Sechium edule),4,0.01,0.03,0.23,0.21,0.07,1.06,63.03,20.21
121,D039,Cluster beans (Cyamopsis tetragonobola),6,0.05,0.03,0.71,0.35,0.12,5.35,41.24,17.96
122,D040,"Colocasia, stem, black (Colocasia antiquorum)",1,0.02,0.04,0.16,0.47,0.06,3.80,30.88,5.15
123,D041,"Colocasia, stem, green (Colocasia antiquorum)",5,0.02,0.03,0.22,0.50,0.07,3.46,25.32,5.83
124,D042,"Corn, Baby (Zea mays)",6,0.15,0.07,0.53,0.94,0.16,0.79,45.53,8.59
125,D043,"Cucumber, green, elongate (Cucumis sativus)",6,0.02,0.01,0.35,0.45,0.06,2.82,16.84,6.11
126,D044,"Cucumber, green, short (Cucumis sativus)",6,0.02,0.01,0.35,0.32,0.07,2.97,14.67,6.21
127,D045,"Cucumber, orange, round (Cucumis sativus)",2,0.02,0.01,0.36,0.34,0.04,3.13,18.77,6.24
128,D046,Drumstick (Moringa oleifera),6,0.04,0.07,0.62,0.57,0.12,4.29,62.75,71.86
129,D047,"Field beans, tender, broad (Vicia faba)",2,0.07,0.07,0.32,0.41,0.42,4.11,123,5.99
130,D048,"Field beans, tender, lean (Vicia faba)",6,0.08,0.07,0.33,0.35,0.38,4.11,127,3.84
131,D049,"French beans, country (Phaseolus vulgaris)",5,0.04,0.06,0.83,0.28,0.37,4.71,47.45,15.81
132,D050,"French beans, hybrid (Phaseolus vulgaris)",2,0.05,0.05,0.77,0.27,0.44,5.93,61.98,1.38
133,D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,0.05,0.05,0.19,0.37,0.04,4.37,35.73,17.51
134,D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,0.06,0.03,0.19,0.36,0.08,4.10,54.58,9.68
135,D053,Knol - Khol (Brassica oleracea),6,0.04,0.06,0.37,0.38,0.19,2.46,14.76,64.70
136,D054,"Kovai, big (Coccinia cordifolia)",6,0.04,0.02,0.55,0.27,0.08,2.96,48.68,17.62
137,D055,"Kovai, small (Coccinia cordifolia)",1,0.04,0.02,0.51,0.28,0.05,2.87,50.13,21.08
138,D056,Ladies finger (Abelmoschus esculentus),6,0.04,0.07,0.61,0.28,0.27,1.58,63.68,22.51
139,D057,"Mango, green, raw (Mangifera indica)",6,0.02,0.02,0.26,0.13,0.13,1.41,25.86,90.24
140,D058,"Onion, stalk (Allium cepa)",6,0.03,0.05,0.14,0.19,0.17,6.99,57.61,27.23
141,D059,"Papaya, raw (Carica papaya)",6,0.02,0.03,0.12,0.24,0.03,1.24,29.79,20.73
142,D060,Parwar (Trichosanthes dioica),6,0.05,0.05,0.67,0.25,0.20,9.86,19.96,19.24
143,D061,"Peas, fresh (Pisum sativum)",6,0.27,0.03,1.28,0.68,0.19,4.04,54.77,38.40
144,D062,"Plantain, flower (Musa x paradisiaca)",6,0.02,0.02,0.28,0.35,0.13,2.44,49.27,6.49
145,D063,"Plantain, green (Musa x paradisiaca)",6,0.01,0.05,0.33,0.26,0.10,0.60,18.96,23.28
146,D064,"Plantain, stem (Musa x paradisiaca)",6,0.02,0.02,0.18,0.24,0.14,4.42,12.85,3.77
147,D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,0.03,0.02,0.44,0.16,0.05,1.41,31.60,7.29
148,D066,"Pumpkin, orange, round (Cucurbita maxima)",6,0.03,0.03,0.41,0.18,0.08,1.63,24.14,8.04
149,D067,"Red gram, tender, fresh (Cajanus cajan)",1,0.23,0.09,2.14,0.71,0.30,2.91,94.21,15.13
150,D068,Ridge gourd (Luffa acutangula),6,0.02,0.01,0.20,0.28,0.07,2.27,29.26,5.42
151,D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,0.02,0.01,0.21,0.25,0.09,2.22,27.36,8.10
152,D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,0.03,0.03,0.34,0.27,0.10,2.50,18.34,2.72
153,D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,0.03,0.03,0.33,0.27,0.07,2.43,16.52,2.85
154,D072,"Snake gourd, short (Trichosanthes anguina)",1,0.03,0.02,0.33,0.31,0.06,2.50,17.74,2.30
155,D073,"Tinda, tender (Praecitrullus fistulosus)",6,0.02,0.03,0.56,0.39,0.06,3.26,43.23,14.20
156,D074,"Tomato, green (Lycopersicon esculentum)",6,0.08,0.05,0.46,0.30,0.07,4.74,12.51,16.41
157,D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,0.04,0.02,0.51,0.18,0.08,1.09,15.41,25.27
158,D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,0.03,0.03,0.52,0.20,0.09,1.18,19.46,27.47
159,D077,"Zucchini, green (Cucurbita pepo)",2,0.05,0.09,1.03,0.99,0.25,1.02,18.85,15.78
160,D078,"Zucchini, yellow (Cucurbita pepo)",2,0.03,0.02,0.42,0.72,0.20,1.13,21.50,16.71
161,E001,"Apple, big (Malus domestica)",6,0.03,0.01,0.25,0.09,0.04,0.34,3.04,3.57
162,E002,"Apple, green (Malus domestica)",6,0.01,0.02,0.21,0.12,0.08,0.41,3.43,2.90
163,E003,"Apple, small (Malus domestica)",6,0.01,0.01,0.09,0.09,0.03,0.47,3.52,4.00
164,E004,"Apple, small, Kashmir (Malus domestica)",1,0.01,0.01,0.09,0.12,0.04,0.44,3.97,4.24
165,E005,"Apricot, dried (Prunus armeniaca)",6,0.04,0.04,1.66,0.62,0.10,1.47,10.50,0.42
166,E006,"Apricot, processed (Prunus armeniaca)",3,0.25,0.04,1.07,0.25,0.17,1.55,5.42,7.98
167,E007,Avocado fruit (Persea americana),1,0.07,0.08,0.90,1.26,0.18,1.25,67.17,9.36
168,E008,Bael fruit (Aegle marmelos),1,0.03,0.04,0.25,1.62,0.03,1.14,55.22,7.50
169,E009,"Banana, ripe, montham (Musa x paradisiaca)",1,0.01,0.04,0.48,0.35,0.51,1.54,17.93,8.06
170,E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,0.01,0.03,0.43,0.40,0.50,1.79,19.95,6.74
171,E011,"Banana, ripe, red (Musa x paradisiaca)",1,0.01,0.02,0.46,0.41,0.45,1.35,18.92,6.74
172,E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,0.01,0.03,0.47,0.36,0.44,1.69,16.81,4.76
173,E013,Black berry (Rubus fruticosus),5,0.01,0.02,0.40,0.21,0.05,1.65,22.95,19.45
174,E014,"Cherries, red (Prunus cerasus)",4,0.07,0.02,0.19,0.23,0.04,1.52,4.92,8.82
175,E015,"Currants, black (Ribes nigrum)",1,0.03,0.03,0.35,0.28,0.09,2.41,8.48,182
176,E016,Custard apple (Annona squamosa),1,0.13,0.09,0.69,0.19,0.07,0.76,7.60,21.51
177,E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,0.03,0.03,1.47,0.51,0.14,0.82,18.65,4.42
178,E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,0.02,0.03,1.09,0.53,0.153,0.94,12.80,3.84
179,E019,"Dates, processed (Phoenix dactylifera)",2,0.05,0.02,0.51,0.52,0.06,2.50,24.53,15.51
