,code,name,regn,thia,ribf,nia,pantac,vitb6c,biot,folsum,vitc
298,H018,Pistachio nuts (Pistacla vera),6,0.98,0.04,0.86,0.58,0.96,11.82,64.90,0
299,H019,Safflower seeds (Carthamus tinctorius),5,0.85,0.15,1.12,0.89,0.93,17.37,82.41,0
300,H020,Sunflower seeds (Helianthus annuus),5,0.59,0.13,1.60,0.97,0.94,2.44,81.79,0
301,H021,Walnut (Juglans regia),6,0.40,0.12,0.86,0.84,0.80,13.05,57.95,0.88
302,I001,"Jaggery, cane (Saccharum officinarum)",6,0.04,0.01,0.02,0.23,0.71,0.58,14.40,0
303,I002,"Sugarcane, juice (Saccharum officinarum)",6,0.03,0.04,0.14,0.07,0.40,0.59,44.53,6.73
304,J001,"Button mushroom, fresh (Agaricus sp.)",1,0.01,0.03,0.68,0.43,0.12,9.23,8.28,0
305,J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,0.37,0.06,1.45,1.48,0.11,8.94,11.13,0.45
306,J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,0.05,0.16,1.92,2.04,0.45,10.60,10.92,0
307,J004,"Oyster mushroom, dried (Pleurotus sp.)",1,0.24,0.17,3.77,2.33,0.85,22.51,10.40,0
308,K001,Toddy,10,0.01,0.27,0.35,0.08,0.03,1.96,0.73,0.92
309,K002,Coconut Water,6,0.01,0.01,0.04,0.26,0.06,0.21,10.88,0.64
310,L001,"Milk, whole, Buffalo",6,0.05,0.13,0.07,0.38,0.04,2.16,8.57,2.37
311,L002,"Milk, whole, Cow",6,0.03,0.11,0.08,0.34,0.04,1.98,7.03,2.01
312,L003,Paneer,6,0.02,0.10,0.13,0.49,0.04,21.04,93.31,0
313,L004,Khoa,6,0.11,0.11,0.43,0.33,0.06,20.39,94.25,0
314,M001,"Egg, poultry, whole, raw",6,0.06,0.19,0.11,1.47,0.16,18.24,49.32,0
315,M002,"Egg, poultry, white, raw",6,0.02,0.16,0.01,1.35,4.36,0,4.96,0
316,M003,"Egg, poultry, yolk, raw",6,0.11,0.16,0.69,2.78,0.29,65.22,112,0
317,M004,"Egg, poultry, whole, boiled",6,0.06,0.18,0.21,1.42,0.14,15.36,48.25,0
318,M005,"Egg, poultry, white, boiled",6,0.02,0.18,0.01,0.18,4.37,0,4.10,0
319,M006,"Egg, poultry, yolk, boiled",6,0.17,0.15,0.45,2.57,0.27,58.43,110,0
320,M007,"Egg, poultry, omlet",3,0.11,0.20,0.33,2.06,0.14,17.13,37.66,0
321,M008,"Egg, country hen, whole, raw",1,0.14,0.08,0.14,1.03,0.18,19.35,54.60,0
322,M009,"Egg, country hen, whole, boiled",1,0.11,0.08,0.12,0.96,0.18,20.15,59.98,0
323,M010,"Egg, country hen, omlet",1,0.14,0.07,0.14,0.94,0.18,18.55,58.79,0
324,M011,"Egg, duck, whole, boiled",1,0.21,0.07,0.18,1.14,0.15,13.87,73.32,0
325,M012,"Egg, duck, whole, raw",1,0.18,0.07,0.13,0.51,0.15,14.52,75.48,0
