code,name,regn,mg,mn,hg,mo,ni,p,k,se,na,zn
F003,"Carrot, red (Dacus carota)",4,18.83±7.02,0.20±0.05,,0.008±0.002,0.011±0.006,25.81±11.63,267±15.7,0.29±0.14,60.69±7.21,0.34±0.09
F004,Colocasia (Colocasia antiquorum),6,36.93±4.86,0.47±0.29,,0.027±0.021,0.035±0.019,81.16±11.90,514±2.8,0.30±0.05,4.54±1.06,0.41±0.09
F005,Lotus root (Nelumbium nelumbo),3,26.58±1.74,1.40±0.81,,0.002±0.000,0.023±0.008,74.30±7.54,611±105,4.61±4.35,20.63±1.33,0.35±0.11
F006,"Potato, brown skin, big (Solanum tuberosum)",6,24.07±7.55,0.14±0.04,0.29±0.03,0.002±0.001,0.006±0.001,43.42±8.44,541±5.3,0.75±0.61,4.11±0.06,0.28±0.03
F007,"Potato, brown skin, small (Solanum tuberosum)",1,22.34,0.16,,0.003,0.013,37.9,474,0.28,3.97,0.38
F008,"Potato, red skin (Solanum tuberosum)",1,25.54,0.14,,,0.012,30.39,501,0.32,4.36,0.34
F009,"Radish, elongate, red skin (Raphanus sativus)",3,13.34±1.14,0.09±0.01,,0.011±0.007,0.005±0.002,27.51±6.96,255±6.0,0.13±0.01,24.73±2.82,0.16±0.02
F010,"Radish, elongate, white skin (Raphanus sativus)",6,16.07±3.27,0.10±0.04,,0.009±0.003,0.005±0.003,30.10±10.91,288±30.9,0.10±0.01,28.20±5.92,0.22±0.09
F011,"Radish, round, red skin (Raphanus sativus)",1,22.25,0.08,,0.016,0.003,28.27,308,0.22,32.27,0.18
F012,"Radish, round, white skin (Raphanus sativus)",2,15.46,0.13,,0.005,0.009,29.47,287,0.13,24.14,0.17
F013,"Sweet potato, brown skin (Ipomoes batatas)",4,17.37±4.75,0.28±0.24,,0.003±0.000,0.013±0.001,42.96±1.95,345±24.3,,29.60±5.32,0.16±0.05
F014,"Sweet potato, pink skin (Ipomoes batatas)",3,21.05±3.95,0.20±0.03,,0.005±0.000,0.009±0.004,37.60±4.74,329±37.6,,29.04±3.64,0.14±0.03
F015,Tapioca (Manihot esculenta),3,23.08±4.06,0.20±0.06,,,0.015±0.008,42.55±11.04,255±36.3,0.07±0.01,10.86±0.10,0.17±0.05
F016,Water Chestnut (Eleocharis dulcis),1,57.43,0.57,0.02,0.007,0.011,62.83,382,2.43,13.08,0.67
F017,"Yam, elephant (Amorphophallus campanulatus)",6,33.51±7.66,0.28±0.07,,0.005±0.005,0.011±0.003,43.06±5.98,501±84.3,0.59±0.12,14.33±2.20,0.26±0.04
F018,"Yam, ordinary (Amorphophallus campanulatus)",4,30.40±3.90,0.14±0.10,,0.002±0.001,0.013±0.003,49.46±8.37,463±74.1,0.57±0.08,15.28±0.07,0.33±0.09
F019,"Yam, wild (Dioscorea versicolor)",2,31.75,0.37,0.21,0.002,0.02,55.94,654,0.56,12.8,0.31
G001,"Chillies, green-1 (Capsicum annum)",5,34.72±8.28,0.29±0.08,,0.002±0.002,0.014±0.002,62.16±14.29,431±53.8,,3.32±0.66,0.31±0.08
G002,"Chillies, green-2 (Capsicum annum)",3,27.54±6.31,0.27±0.09,,0.002±0.002,0.041±0.027,51.72±9.20,321±41.7,,2.47±0.50,0.26±0.06
G003,"Chillies, green-3 (Capsicum annum)",5,29.90±6.97,0.27±0.10,,0.002±0.002,0.032±0.017,50.24±12.28,317±72.7,,2.56±1.04,0.27±0.08
G004,"Chillies, green-4 (Capsicum annum)",3,29.74±8.00,0.29±0.18,,0.001±0.001,0.032±0.035,42.79±2.85,318±25.0,,1.94±0.60,0.28±0.15
