code,name,regn,mg,mn,hg,mo,ni,p,k,se,na,zn
A001,"Amaranth seed, black (Amaranthus cruentus)",1,325,5.29,,0.016,0.345,374,433,16.46,2.7,2.66
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,270±33.2,4.44±0.27,,0.049±0.014,0.048±0.017,412±22.0,413±45.9,21.41±6.15,2.81±0.22,2.52±0.20
A003,Bajra (Pennisetum typhoideum),6,124±19.5,1.12±0.17,0.77±1.48,0.050±0.025,0.056±0.022,289±25.3,365±18.0,30.40±5.22,4.11±0.09,2.76±0.36
A004,Barley (Hordeum vulgare),6,48.97±6.1,1.24±0.11,1.84±0.50,0.032±0.005,,178±26.8,268±20.4,18.61±1.32,7.56±1.52,1.50±0.27
A005,Jowar (Sorghum vulgare),6,133±14.8,1.19±0.11,2.62±2.15,0.042±0.021,0.059±0.021,274±35.7,328±25.1,26.29±11.08,5.42±0.21,1.96±0.31
A006,"Maize, dry (Zea mays)",6,145±12.4,0.71±0.08,3.19±2.64,0.035±0.014,0.035±0.013,279±35.3,291±27.7,8.69±1.81,4.44±0.18,2.27±0.23
A007,"Maize, tender, local (Zea mays)",6,47.62±5.32,0.36±0.07,,0.009±0.009,0.016±0.007,163±25.7,167±36.8,3.83±2.28,2.24±0.07,0.97±0.14
A008,"Maize, tender, sweet (Zea mays)",4,36.51±1.87,0.32±0.04,,0.006±0.001,0.009±0.004,121±13.6,297±4.1,2.17±1.11,2.23±0.06,0.77±0.09
A009,Quinoa(Chenopodium quinoa),1,119,1.77,,,0.004,212,474,7.81,4.5,3.31
A010,Ragi (Eleusine coracana),5,146±10.7,3.19±0.88,3.96±1.41,0.011±0.008,0.078±0.020,210±58.4,443±59.6,15.30±6.23,4.75±0.14,2.53±0.51
A011,Rice flakes (Oryza sativa ),6,77.92±12.75,0.89±0.13,,0.049±0.011,0.043±0.015,195±20.5,148±13.8,,2.58±0.06,1.49±0.21
A012,Rice puffed (Oryza sativa ),6,64.59±6.01,0.91±0.15,,0.034±0.024,0.048±0.014,152±20.6,140±14.0,,3.69±0.87,1.45±0.29
A013,"Rice, raw, brown (Oryza sativa )",6,93.91±9.11,1.70±0.45,,0.053±0.026,0.038±0.024,267±64.9,199±40.9,2.26±0.43,3.64±0.08,1.68±0.33
A014,"Rice, parboiled, milled (Oryza sativa )",6,26.72±8.52,0.79±0.25,,0.055±0.017,0.027±0.009,140±25.0,142±20.3,1.19±0.14,3.16±1.33,1.08±0.20
A015,"Rice, raw, milled (Oryza sativa )",6,19.30±6.99,0.73±0.21,,0.056±0.037,0.022±0.012,96±16.30,108±10.9,1.01±0.13,2.34±0.28,1.21±0.17
A016,Samai (Panicum miliare),6,91.41±12.63,0.23±0.08,,0.020±0.010,0.086±0.029,130±27.5,105±15.7,40.41±24.09,4.77±0.14,1.82±0.14
A017,Varagu (Setaria italica),5,122±5.9,0.33±0.05,0.74±0.15,0.020±0.007,0.074±0.019,101±5.2,94±10.7,14.12±2.26,3.35±0.04,1.65±0.18
A018,"Wheat flour, refined (Triticum aestivum)",6,30.69±2.77,0.63±0.09,,0.013±0.003,0.005±0.003,110±9.8,148±7.0,,1.54±0.48,0.88±0.07
A019,"Wheat flour, atta (Triticum aestivum)",6,125±11.5,2.98±0.36,,0.022±0.009,0.021±0.015,315±41.4,311±38.3,53.12±5.47,2.04±0.31,2.85±0.32
A020,"Wheat, whole (Triticum aestivum)",6,125±14.8,3.19±0.59,,0.073±0.030,0.014±0.005,315±41.8,366±59.6,47.76±5.96,2.50±0.20,2.85±0.65
A021,"Wheat, bulgur (Triticum aestivum)",6,116±14.0,1.95±0.13,2.01±0.12,0.029±0.013,0.018±0.016,245±27.9,330±33.4,10.54±2.23,2.09±0.34,1.97±0.25
A022,"Wheat, semolina (Triticum aestivum)",6,37.89±3.71,1.98±0.18,2.67±3.69,0.018±0.011,0.008±0.006,119±8.5,284±26.5,10.93±5.06,2.31±0.61,2.13±0.32
A023,"Wheat, vermicelli (Triticum aestivum)",6,34.18±5.28,0.67±0.11,,0.031±0.016,0.008±0.002,99±12.94,163±26.7,15.33±3.25,2.71±0.79,0.83±0.12
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,39.03±7.18,0.75±0.15,,0.019±0.004,0.010±0.005,107±21.6,177±30.3,14.29±3.11,3.43±0.14,0.88±0.22
B001,"Bengal gram, dal (Cicer arietinum)",6,118±12.9,1.68±0.16,1.78±0.12,0.047±0.034,0.141±0.031,325±14.0,957±23.7,50.97±22.01,20.83±0.15,3.65±0.37
B002,"Bengal gram, whole (Cicer arietinum)",6,160±17.5,2.71±0.33,1.77±0.12,0.064±0.031,0.081±0.023,267±21.9,935±37.9,41.23±11.67,26.56±0.12,3.37±0.26
B003,"Black gram, dal (Phaseolus mungo)",6,173±3.1,1.46±0.06,2.11±0.44,0.054±0.032,0.249±0.070,375±43.7,1157±38.0,23.99±2.15,18.88±2.27,3.00±0.18
B004,"Black gram, whole (Phaseolus mungo)",6,190±19.1,1.83±0.34,2.43±1.06,0.099±0.053,0.241±0.077,345±36.5,1093±24.5,27.98±7.08,26.80±3.77,3.05±0.24
B005,"Cowpea, brown (Vigna catjang)",6,213±20.3,1.51±0.29,,0.108±0.052,0.233±0.071,372±32.9,1241±116,23.95±4.40,13.68±0.07,3.41±0.41
B006,"Cowpea, white (Vigna catjang)",1,213,1.35,,0.226,0.228,378,1243,26.55,12.52,3.57
B007,"Field bean, black (Phaseolus vulgaris)",1,197,2.38,,0.073,0.184,457,1272,32.55,1.35,2.42
B008,"Field bean, brown (Phaseolus vulgaris)",1,173,2.38,,0.057,0.283,429,1245,22.82,1.41,2.44
B009,"Field bean, white (Phaseolus vulgaris)",5,190±15.1,2.41±0.33,,0.034±0.020,0.261±0.100,448±71.4,1360±33.0,21.52±1.34,1.70±0.04,2.80±0.18
B010,"Green gram, dal (Phaseolus aureus)",6,155±17.2,0.98±0.06,2.03±2.80,0.162±0.140,0.129±0.045,416±22.4,1268±85.3,50.14±8.92,10.14±0.33,2.49±0.12
B011,"Green gram, whole (Phaseolus aureus)",6,198±39.2,1.05±0.08,2.96±4.83,0.174±0.058,0.103±0.014,353±33.6,1177±74.3,23.32±6.03,12.48±0.07,2.67±0.13
B012,"Horse gram, whole (Dolicus biflorus)",6,152±18.1,3.13±0.41,6.72±3.83,0.124±0.056,0.273±0.077,298±22.5,1065±42.4,29.49±6.79,12.14±0.17,2.71±0.21
B013,Lentil dal (Lens culinaris),6,74.69±7.78,1.16±0.12,0.34±0.39,0.079±0.036,0.101±0.015,310±5.3,786±55.3,49.50±18.40,10.27±0.07,3.61±0.26
B014,"Lentil whole, brown (Lens culinaris)",6,101±13.9,1.55±0.26,2.08±0.25,0.076±0.057,0.201±0.062,274±27.4,756±63.6,33.14±18.27,11.20±0.08,3.60±0.23
B015,"Lentil whole, yellowish (Lens culinaris)",2,86.38,1.56,1.62,0.299,0.145,261,764,56.28,10.87,3.31
B016,Moth bean (Vigna aconitifolia),6,205±13.5,1.07±0.02,,0.059±0.025,0.180±0.014,362±31.7,1356±53.2,18.82±3.46,26.34±0.10,1.92±0.08
B017,"Peas, dry (Pisum sativum)",6,123±8.1,1.08±0.09,1.83±3.36,0.113±0.084,0.111±0.021,334±18.3,922±67.4,50.07±3.23,23.40±0.07,3.10±0.14
B018,"Rajmah, black (Phaseolus vulgaris)",2,160,1.19,,0.034,0.283,386,1362,18.65,9.4,3.08
B019,"Rajmah, brown (Phaseolus vulgaris)",6,164±22.3,1.19±0.09,1.48±0.18,0.081±0.043,0.287±0.122,396±32.5,1366±113,12.70±5.51,10.47±0.10,2.60±0.17
B020,"Rajmah, red (Phaseolus vulgaris)",3,173±9.7,1.24±0.11,,0.054±0.035,0.203±0.085,409±32.4,1324±195,22.45±5.37,10.45±0.05,2.69±0.34
B021,"Red gram, dal (Cajanus cajan)",6,119±15.3,1.12±0.08,1.56±0.34,0.131±0.080,0.198±0.053,328±17.2,1395±118,14.36±4.16,18.01±0.12,2.63±0.10
B022,"Red gram, whole (Cajanus cajan)",6,155±23.1,1.34±0.29,2.22±0.47,0.087±0.054,0.161±0.031,312±38.3,1303±103,15.41±7.61,19.03±0.11,2.99±0.25
B023,Ricebean (Vigna umbellata ),1,201,1.68,,,,270,1196,,10.62,2.29
B024,"Soya bean, brown (Glycine max)",6,259±40.2,2.69±0.37,1.15±0.30,0.157±0.108,0.154±0.039,483±38.9,1613±75.6,19.00±5.48,2.07±0.05,4.01±0.51
B025,"Soya bean, white (Glycine max)",1,189,2.27,,0.156,0.169,494,1634,16.85,2.83,3.47
C001,Agathi leaves (Sesbania grandiflora),1,96.64,1.24,0.41,0.003,0.068,52.52,674,30.7,18.12,0.53
C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,194±53.2,1.24±0.23,,0.024±0.023,0.017±0.008,73.22±12.66,572±152,20.97±2.01,16.08±3.71,0.86±0.31
C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,177,2.15,,0.013,0.026,75.98,564,22.55,14.58,1.37
C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,146±25.9,1.43±0.44,,0.010±0.004,0.030±0.020,68.23±5.66,597±118,21.62±2.82,17.55±2.59,1.03±0.31
C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,202±68.2,1.07±0.31,,0.032±0.015,0.024±0.004,72.46±21.03,569±78.0,28.97±2.54,15.66±1.50,1.57±0.50
C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,187,1.84,,0.021,0.02,85.02,588,19.41,16.27,1.11
C007,Basella leaves (Basella alba),2,153,1.29,,0.006,0.044,37.26,337,6.17,18.74,0.39
C008,Bathua leaves (Chenopodium album),2,48.41,1.58,0.18,0.003,0.008,37.55,438,1.4,10.75,0.98
C009,Beet greens (Beta vulgaris),6,120±7.8,1.16±0.04,0.26±0.12,0.036±0.030,0.02±0.011,36.02±4.80,530±49.0,47.75±17.81,111±34.1,0.16±0.03
C010,"Betel leaves, big (kolkata) (Piper betle)",6,107±22.4,2.57±0.77,0.21±0.13,0.004±0.004,0.050±0.023,51.73±4.83,649±9.0,12.15±2.80,16.80±0.03,0.47±0.17
C011,"Betel leaves, small (Piper betle)",4,89.94±14.98,1.79±0.62,,0.002±0.002,0.043±0.017,55.72±3.36,678±5.2,5.40±1.71,14.04±2.32,0.39±0.06
C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,32.99,0.41,0.06,0.013,0.012,98.56,639,2.01,18.51,0.57
C013,"Cabbage, Chinese (Brassica rupa)",1,11.51,0.19,,,,33.05,258,1.85,20.28,0.19
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,45.9,1.27,,0.004,0.03,54.67,292,2.35,22.98,0.35
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,17.99±3.22,0.20±0.09,,0.002±0.001,0.009±0.003,30.15±6.48,233±59.0,1.08±0.16,14.98±2.78,0.16±0.03
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,26.87,0.19,,0.002,0.004,22.14,201,1.08,24,0.13
C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,41.50±1.86,0.50±0.05,,0.006±0.003,0.013±0.009,62.82±2.98,374±14.1,1.05±0.16,24.31±5.03,0.31±0.06
C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,59.44±16.08,1.30±0.42,0.25±0.07,0.015±0.011,0.026±0.012,57.88±5.60,404±104,4.30±1.13,12.08±1.93,0.82±0.21
C019,Drumstick leaves (Moringa oleifera),3,97.09±10.17,1.26±0.60,,0.036±0.000,0.024±0.015,109±20.7,397±2.1,5.95±3.28,9.34±2.11,0.72±0.19
C020,Fenugreek leaves (Trigonella foenum graecum),5,63.67±18.51,0.84±0.34,,0.017±0.014,0.034±0.013,53.05±7.08,226±63.0,1.29±0.51,47.01±4.23,0.54±0.06
C021,Garden cress (Lepidium sativum),2,79.24,1.2,0.34,0.005,0.042,45.55,379,8.08,25.35,1.52
C022,"Gogu leaves, green (Hibiscus cannabinus)",4,83.09±15.88,2.03±0.32,,0.012±0.007,0.050±0.013,41.99±6.83,260±5.4,2.38±0.33,12.34±2.36,0.65±0.08
C023,"Gogu leaves, red (Hibiscus cannabinus)",1,75.75,1.75,,0.01,0.05,36.38,161,3.25,14.08,0.63
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,66,0.7,0.29,0.105,0.018,55.02,309,10.5,26.8,0.42
C025,Lettuce (Lactuca sativa),3,43.22±17.56,0.38±0.15,0.08±0.04,0.004±0.002,0.010±0.002,44.10±11.69,279±77.6,5.56±1.89,17.53±2.53,0.51±0.22
C026,Mustard leaves (Brassica juncea),3,51.63±4.38,0.41±0.07,,0.010±0.001,0.015±0.001,71.62±16.63,403±62.5,8.03±0.33,19.14±3.67,0.68±0.09
C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,45.28,0.36,0.08,0.02,0.024,25.95,250,0.79,33.73,0.16
C028,Parsley (Petroselinum crispum),3,49.18±13.89,0.91±0.01,0.49±0.22,0.015±0.007,0.043±0.017,78.56±15.86,466±62.2,10.24±1.91,53.08±0.46,1.29±0.14
C029,Ponnaganni (Alternanthera sessilis),2,80.39,0.66,0.34,0.002,0.041,58.26,457,17.19,39.36,0.99
C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,84.21±9.97,1.14±0.60,,0.031±0.016,0.027±0.014,64.54±10.74,423±64.2,1.38±0.25,12.20±2.49,0.90±0.25
C031,Radish leaves (Raphanus sativus),6,57.96±15.93,0.90±0.59,,0.019±0.022,0.025±0.010,50.08±15.00,304±4.2,33.05±26.21,17.39±3.22,0.49±0.12
C032,Rumex leaves (Rumex patientia),2,48.33,0.82,0.47,0.015,0.02,32.4,336,5.37,19.95,0.46
C033,Spinach (Spinacia oleracea),6,86.97±8.58,1.12±0.42,,0.008±0.004,0.025±0.004,32.59±8.08,625±5.9,2.09±0.22,42.55±4.12,0.46±0.09
C034,"Tamarind leaves, tender (Tamarindus indica)",3,42.10±0.80,0.64±0.05,,,,86.86±2.14,465±4.0,2.45±0.39,13.43±0.07,0.93±0.03
D001 ,Ash gourd (Benincasa hispida) ,6,19.95±6.83 ,0.09±0.03 ,,0.008±0.004 ,0.008±0.004 ,29.07±8.45 ,372±82.0 ,1.15±0.18 ,0.77±0.14 ,0.13±0.06
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,8.28,0.42,,,0.008,39.63,422,2.58,1.12,0.37
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,43.75±1.66,0.37±0.02,,0.039±0.016,0.027±0.013,62.13±3.09,164±8.3,0.02±0.01,1.46±0.54,0.57±0.05
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,32.14±5.53,0.25±0.02,,0.004±0.001,0.015±0.012,44.90±4.39,326±35.0,4.97±1.10,13.09±0.07,0.31±0.07
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,31.58±2.56,0.23±0.11,,0.004±0.000,0.013±0.003,40.21±9.79,282±51.6,3.72±0.68,12.59±0.06,0.36±0.07
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,33.34,0.5,,0.003,0.047,44.75,356,5.22,11.16,0.43
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,10.93±1.69,0.13±0.07,,0.002±0.001,0.008±0.004,16.01±1.97,124±16.5,1.77±0.29,1.46±0.08,0.15±0.02
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,10.89±1.53,0.11±0.04,,0.001±0.000,0.013±0.004,16.99±7.45,116±20.2,1.80±0.39,1.52±0.09,0.15±0.02
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,12.9,0.15,,,0.014,26.86,171,2.05,1.35,0.18
D010,Brinjal-1 (Solanum melongena),1,26.75,0.29,,,0.024,39.95,302,,3.15,0.32
D011,Brinjal-2 (Solanum melongena),1,29.56,0.29,,,0.008,44.65,206,,3.92,0.23
D012,Brinjal-3 (Solanum melongena),2,18.62,0.29,,,0.024,27.79,192,,3.12,0.2
D013,Brinjal-4 (Solanum melongena),4,20.65±7.46,0.18±0.03,,0.001±0.000,0.019±0.011,31.82±5.99,268±114,,3.31±0.24,0.21±0.04
D014,Brinjal-5 (Solanum melongena),3,25.36±11.97,0.16±0.02,,0.001±0.001,0.011±0.008,33.13±6.40,227±35.4,,4.03±0.55,0.20±0.05
D015,Brinjal-6 (Solanum melongena),2,18.82,0.2,,0.003,0.007,30.12,289,,3.75,0.2
D016,Brinjal-7 (Solanum melongena),1,15.26,0.16,,0.001,0.011,29.58,238,,3.45,0.16
D017,Brinjal-8(Solanum melongena),3,26.63±8.03,0.19±0.02,,0.002±0.001,0.012±0.009,35.84±3.90,284±124,,4.73±0.10,0.24±0.08
D018,Brinjal-9(Solanum melongena),2,26.23,0.16,,,0.003,35.71,224,,3.08,0.23
D019,Brinjal-10 (Solanum melongena),2,22.11,0.18,,,0.016,37.36,252,,4.35,0.23
D020,Brinjal-11 (Solanum melongena),6,20.73±5.13,0.14±0.02,,0.002±0.001,0.007±0.003,33.28±7.08,260±51.3,,3.47±0.27,0.22±0.04
D021,Brinjal-12 (Solanum melongena),2,19.26,0.18,,0.001,0.013,37.81,259,,3.88,0.25
D022,Brinjal-13(Solanum melongena),1,18,0.15,,,0.007,26.81,260,,3,0.19
D023,Brinjal-14(Solanum melongena),3,19.19±8.62,0.15±0.07,,0.002±0.000,0.015±0.013,30.07±4.05,246±20.2,,3.71±0.25,0.19±0.06
D024,Brinjal-15 (Solanum melongena),4,21.89±3.72,0.15±0.05,,0.004±0.003,0.003±0.001,30.32±4.00,215±67.5,,3.34±0.27,0.22±0.04
D025,Brinjal-16(Solanum melongena),1,17.06,0.18,,,0.003,29.86,294,,3.22,0.19
D026,Brinjal-17(Solanum melongena),1,23.13,0.14,,,0.005,35.94,233,,3.09,0.25
D027,Brinjal-18 (Solanum melongena),3,15.48±1.73,0.17±0.04,,0.006±0.000,0.010±0.013,28.03±6.25,208±51.4,,3.63±0.38,0.18±0.05
D028,Brinjal-19(Solanum melongena),3,18.41±2.91,0.16±0.02,,0.001±0.000,0.016±0.003,29.76±2.67,243±57.7,,3.11±0.08,0.19±0.03
D029,Brinjal-20(Solanum melongena),5,18.51±3.26,0.16±0.05,,0.001±0.001,0.009±0.007,31.21±6.76,239±29.6,,3.58±0.27,0.20±0.05
D030,Brinjal-21(Solanum melongena),2,17.3,0.23,,,0.017,34.98,252,,3.06,0.2
D031,Brinjal - all varieties (Solanum melongena),6,21±5.68,0.17±0.06,,0.002±0.002,0.011±0.009,32.56±5.91,247±59.8,,3.55±0.47,0.21±0.05
D032,Broad beans (Vicia faba),3,40.18±2.10,0.47±0.04,,0.024±0.006,0.04±0.01,67.97±8.14,362±14.1,9.03±1.67,20.74±0.65,0.61±0.06
D033,"Capsicum, green (Capsicum annuum)",6,11.84±1.91,0.10±0.04,,0.001±0.001,0.014±0.007,23±5.42,154±24.2,0.18±0.05,1.84±0.10,0.15±0.03
D034,"Capsicum, red (Capsicum annuum)",4,19.57±5.45,0.24±0.12,,,0.005±0.004,30.81±5.81,224±24.7,0.34±0.05,1.70±0.14,0.34±0.06
D035,"Capsicum, yellow (Capsicum annuum)",4,17.23±4.30,0.17±0.05,,,0.008±0.002,43.33±10.64,242±45.6,0.28±0.09,1.56±0.18,0.26±0.08
D036,Cauliflower (Brassica oleracea),6,23.08±4.37,0.23±0.08,,0.002±0.001,0.013±0.005,47.33±10.61,329±56.3,0.47±0.06,30.72±3.83,0.31±0.11
D037,Celery stalk (Apium graveolens),3,17.12±6.63,0.24±0.04,,,0.011±0.001,44.84±9.18,298±10.1,3.59±1.27,10.68±0.05,0.18±0.03
D038,Cho-cho-marrow (Sechium edule),4,13.05±1.03,0.17±0.09,,0.002±0.001,0.008±0.005,21.61±4.89,120±20.8,0.16±0.05,1.28±0.05,0.10±0.03
D039,Cluster beans (Cyamopsis tetragonobola),6,81.74±10.44,0.39±0.12,,0.022±0.007,0.057±0.016,45.28±4.07,301±47.7,1.59±0.51,4.05±0.73,0.61±0.13
D040,"Colocasia, stem, black (Colocasia antiquorum)",1,11.07,2,,0.003,0.013,20.31,381,0.82,0.45,0.54
D041,"Colocasia, stem, green (Colocasia antiquorum)",5,19.56±4.36,0.37±0.20,,0.005±0.004,0.008±0.003,30.73±6.04,414±85.6,1.48±0.76,0.60±0.15,0.20±0.08
D042,"Corn, Baby (Zea mays)",6,25.47±2.17,0.19±0.03,,,,8.69±1.35,260±19.4,0.22±0.05,1.40±0.69,1.13±0.22
D043,"Cucumber, green, elongate (Cucumis sativus)",6,20.38±4.95,0.08±0.03,,0.002±0.002,0.008±0.002,28.34±4.85,183±36.6,0.17±0.07,6.33±0.20,0.17±0.02
D044,"Cucumber, green, short (Cucumis sativus)",6,18.48±5.63,0.09±0.02,,0.001±0.001,0.008±0.002,29.74±7.59,198±56.4,0.19±0.08,6.11±0.14,0.19±0.05
D045,"Cucumber, orange, round (Cucumis sativus)",2,20.34,0.07,,0.002,0.009,23.17,185,0.14,8.16,0.16
D046,Drumstick (Moringa oleifera),6,38.10±10.53,0.19±0.03,,0.001±0.000,0.011±0.005,52.87±8.72,419±76.4,3.12±0.70,22.38±0.36,0.31±0.06
D047,"Field beans, tender, broad (Vicia faba)",2,50.88,0.56,,0.047,0.037,73.3,345,,14.14,0.64
D048,"Field beans, tender, lean (Vicia faba)",6,47.42±6.76,0.50±0.09,,0.047±0.029,0.039±0.016,76.54±12.27,314±39.0,,12.76±0.13,0.63±0.20
D049,"French beans, country (Phaseolus vulgaris)",5,43.01±7.64,0.44±0.13,,0.059±0.032,0.056±0.022,59.86±11.58,324±51.1,,8.84±0.10,0.50±0.15
D050,"French beans, hybrid (Phaseolus vulgaris)",2,34.98,0.27,,0.017,0.037,45.9,317,,9.18,0.37
D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,26.60±9.13,0.36±0.11,,,0.008±0.006,27.78±3.89,327±18.1,,3.53±0.52,0.17±0.03
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,37.04±15.48,0.27±0.10,,,0.015±0.007,29.33±10.67,376±70.1,0.33±0.10,4.00±0.09,0.29±0.12
D053,Knol - Khol (Brassica oleracea),6,19.05±3.69,0.13±0.03,,0.004±0.002,0.006±0.003,40.77±4.47,327±63.8,,27.46±3.47,0.15±0.03
D054,"Kovai, big (Coccinia cordifolia)",6,19.60±3.26,0.16±0.05,,0.001±0.001,0.010±0.002,36.90±4.81,198±34.9,,1.53±0.15,0.18±0.03
D055,"Kovai, small (Coccinia cordifolia)",1,18.87,0.12,,0.001,0.006,26.29,167,,2.2,0.13
D056,Ladies finger (Abelmoschus esculentus),6,66.10±8.99,0.30±0.04,,0.005±0.002,0.012±0.001,57.48±6.93,263±32.5,,7.37±0.14,0.45±0.04
D057,"Mango, green, raw (Mangifera indica)",6,17.54±3.18,0.23±0.06,,,0.006±0.002,14.92±2.22,147±20.9,,33.15±0.10,0.09±0.02
D058,"Onion, stalk (Allium cepa)",6,66.71±8.82,0.22±0.06,,0.017±0.007,0.031±0.007,28.53±3.74,312±63.2,5.22±2.02,15.52±2.48,0.99±0.21
