code,name,regn,his,ile,leu,lys,met,cys,phe,thr,trp,val
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,1.62,3.56,5.31,2.85,0.85,0.63,2.21,2.67,0.82,5.47
C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,1.88±0.19,3.37±0.16,5.36±0.29,4.01±0.08,0.99±0.09,0.68±0.04,4.16±0.41,4.01±0.04,1.12±0.34,4.93±0.38
C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,3.40±1.66,3.51±1.02,7.45±0.50,4.26±0.62,1.79±0.48,1.07±0.30,4.43±0.74,4.53±0.25,1.01±0.30,4.64±1.52
C019,Drumstick leaves (Moringa oleifera),3,2.06±0.21,3.10±1.17,6.70±0.59,4.38±0.29,0.92±0.17,0.75±0.04,6.45±0.58,3.75±0.47,1.27±0.23,4.38±1.28
C020,Fenugreek leaves (Trigonella foenum graecum),5,2.40±0.23,4.47±0.55,7.50±0.63,5.88±1.09,1.28±0.10,0.74±0.19,5.52±0.23,4.90±0.61,0.99±0.13,6.27±0.60
C021,Garden cress (Lepidium sativum),2,1.42,4.51,9.23,4.54,1.95,0.67,4.72,4.95,1.26,6.17
C022,"Gogu leaves, green (Hibiscus cannabinus)",4,2.61±0.11,3.64±0.79,7.60±0.37,5.61±0.26,1.31±0.11,0.73±0.13,5.04±0.28,4.63±0.16,1.07±0.25,4.55±1.16
C023,"Gogu leaves, red (Hibiscus cannabinus)",1,2.72,4.34,8.6,6.03,1.76,0.86,5.65,5.1,1.04,6.02
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,1.96,4.31,7.2,4.27,1.37,0.95,4.93,4.45,1.05,5.7
C025,Lettuce (Lactuca sativa),3,1.74±0.19,3.49±1.44,6.90±1.45,5.22±0.37,0.95±0.37,0.87±0.10,3.61±1.49,4.50±0.57,1.23±0.41,4.95±0.58
C026,Mustard leaves (Brassica juncea),3,1.91±0.23,3.22±0.15,6.57±0.01,5.42±0.34,0.74±0.09,1.02±0.13,3.53±0.67,4.08±0.57,1.31±0.14,3.52±0.43
C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,2.48,3.78,7.98,6.26,1.96,1.12,5.89,5.03,1.23,5.67
C028,Parsley (Petroselinum crispum),3,1.76±0.16,4.78±0.24,7.82±0.82,5.75±0.86,1.32±0.13,0.87±0.05,5.31±0.39,4.91±0.39,1.68±0.06,6.19±0.33
C029,Ponnaganni (Alternanthera sessilis),2,1.87,4.89,8.77,5.01,1.58,0.93,5.41,5.35,1.18,5.95
